iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,100000,100000,71,71,4,1,367.0422535211268,153.1762711572059,1369.8732394366198,367.0422535211268,153.1762711572059,1369.8732394366198,2.1446347236633302e-08,-0.001249175198674202,1277.4802419140624,610.0038165625,2.1890183168029784,0.0016885672618821264,nan,nan,0.009960000002980232,nan,6.973743438720703e-06,0.019570529460906982,82.07376885414124,78.5596137046814,0.0,160.63358306884766
2,2,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,200000,100000,73,73,4,1,370.4109589041096,160.68038858915762,1326.5479452054794,370.4109589041096,160.68038858915762,1326.5479452054794,3.109574317932129e-09,-0.0015144114297628403,648.0003674414063,601.5878008496094,2.1852932263946534,0.002126711439937353,nan,nan,0.012490000010728836,nan,0.019848942756652832,0.09060943126678467,81.13556718826294,76.53557515144348,0.0,157.6711826324463
3,3,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,300000,100000,77,77,4,1,353.14285714285717,142.17436836648218,1269.6233766233765,353.14285714285717,142.17436836648218,1269.6233766233765,3.813505172729492e-09,-0.001466025602221489,570.0264577734375,537.3674115429687,2.1777999661254883,0.0021122406296432018,nan,nan,0.007480000001490116,nan,0.10095196962356567,0.15211868286132812,80.94642114639282,75.7759141921997,0.0,156.7223677635193
4,4,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,400000,100000,74,74,4,1,381.7837837837838,131.7575855829787,1306.2837837837837,381.7837837837838,131.7575855829787,1306.2837837837837,3.159046173095703e-09,-0.0014783357095718385,611.1144883496094,582.2677562109375,2.169125273361206,0.0022771403942257167,nan,nan,0.05672999999523163,nan,0.12976491451263428,0.16283118724822998,81.09544324874878,75.88611459732056,0.0,156.98159098625183
5,5,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,500000,100000,73,73,4,1,415.7260273972603,157.9975082406233,1337.0684931506848,415.7260273972603,157.9975082406233,1337.0684931506848,4.477500915527344e-09,-0.0015445745706558227,615.8283481835938,599.0992342773437,2.1564055337524413,0.0022688366027921437,nan,nan,0.05144000000238418,nan,0.1745852828025818,0.19490116834640503,80.24661183357239,76.18323493003845,0.0,156.42987871170044
6,6,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,600000,100000,71,71,4,1,416.61971830985914,204.04544965933744,1353.380281690141,416.61971830985914,204.04544965933744,1353.380281690141,-1.3208389282226562e-09,-0.0012582285165786743,624.5454246875,620.652088046875,2.144445651321411,0.001915188224464655,nan,nan,0.05036000001907349,nan,0.17023545503616333,0.1804555058479309,81.052086353302,76.09686946868896,0.0,157.148987531662
7,7,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,700000,100000,72,72,4,1,421.05555555555554,146.08367930068263,1347.125,421.05555555555554,146.08367930068263,1347.125,-2.689659595489502e-10,-0.0013818602672219277,592.6004086816406,579.2546013867187,2.139152314529419,0.0009959987857565283,nan,nan,0.01789999999523163,nan,0.1855906844139099,0.19598793983459473,80.41062235832214,76.02402520179749,0.0,156.43468189239502
8,8,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,800000,100000,73,73,4,1,409.5890410958904,149.91904990273264,1348.109589041096,409.5890410958904,149.91904990273264,1348.109589041096,-2.5177001953125e-09,-0.0015520792818069459,575.1005199609375,567.9602222265625,2.134429994506836,0.0022523545253276826,nan,nan,0.0523500000333786,nan,0.19348526000976562,0.2037496566772461,80.51705932617188,75.624920129776,0.0,156.1420180797577
9,9,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,900000,100000,69,69,4,1,430.6666666666667,146.54856905404242,1420.9130434782608,430.6666666666667,146.54856905404242,1420.9130434782608,-8.392333984375e-10,-0.0012169831371307374,571.8081602734375,565.0154789746093,2.125697272567749,0.001095317998342216,nan,nan,0.02632999999821186,nan,0.20310360193252563,0.21277886629104614,79.92425274848938,75.95109057426453,0.0,155.87537384033203
10,10,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,1000000,100000,69,69,4,1,434.0869565217391,148.86563722299954,1390.5652173913043,434.0869565217391,148.86563722299954,1390.5652173913043,-1.0585784912109376e-09,-0.001310550365447998,547.9171838671875,536.7250190820313,2.124398257446289,0.001132506739422679,nan,nan,0.008230000001490117,nan,0.1851799488067627,0.20182859897613525,81.08774971961975,75.84504437446594,0.0,156.9328317642212
11,11,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,1100000,100000,74,74,4,1,439.4054054054054,135.22942656322783,1319.081081081081,439.4054054054054,135.22942656322783,1319.081081081081,3.31878662109375e-09,-0.001061163969039917,590.1356552929687,576.6223744726562,2.1127701182556153,0.0011695192026346922,nan,nan,0.03645000002861023,nan,0.2223811149597168,0.23423880338668823,80.44760179519653,76.02079367637634,0.0,156.46842741966248
12,12,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,1200000,100000,73,73,4,1,439.45205479452056,153.26555351101595,1317.972602739726,439.45205479452056,153.26555351101595,1317.972602739726,6.9427490234375e-09,-0.0011092407274246217,670.39335609375,651.236424921875,2.1202710974884034,0.0009433138490468263,nan,nan,0.024650000010728836,nan,0.194665789604187,0.21776628494262695,81.34829783439636,76.59757089614868,0.0,157.94590067863464
13,13,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,1300000,100000,70,70,4,1,441.6,142.40770444647396,1367.6857142857143,441.6,142.40770444647396,1367.6857142857143,1.2624263763427735e-09,-0.001449122430086136,568.6158677734375,560.634955234375,2.124940448760986,0.0014389791851863265,nan,nan,0.009810000001937151,nan,0.2400454878807068,0.2512208819389343,81.07950115203857,75.9622802734375,0.0,157.04181599617004
14,14,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,1400000,100000,70,70,4,1,452.34285714285716,183.29148415369795,1395.2571428571428,452.34285714285716,183.29148415369795,1395.2571428571428,-1.0516643524169923e-08,-0.001615081253051758,615.8563972070313,602.4105421386719,2.114405832519531,0.0010454712088778615,nan,nan,0.013849999994635582,nan,0.23255181312561035,0.24759453535079956,80.36590814590454,75.9310793876648,0.0,156.29702830314636
15,15,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,1500000,100000,67,67,4,1,505.67164179104475,198.09378059956828,1444.4179104477612,505.67164179104475,198.09378059956828,1444.4179104477612,-9.634494781494141e-09,-0.0014112666315585375,647.2123980273437,625.9091641796875,2.106032045516968,0.0012122551183030008,nan,nan,0.012300000003576278,nan,0.24169886112213135,0.25883007049560547,80.49715685844421,76.43160939216614,0.0,156.9287977218628
16,16,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,1600000,100000,72,72,4,1,454.55555555555554,152.39175474276897,1369.236111111111,454.55555555555554,152.39175474276897,1369.236111111111,1.1581182479858398e-09,-0.001566933000087738,619.2170220019531,606.3262405175781,2.0967675048065186,0.001068766541145742,nan,nan,0.021270000020265578,nan,0.26223182678222656,0.27191871404647827,81.28795886039734,76.31194067001343,0.0,157.59993243217468
17,17,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,1700000,100000,74,74,4,1,440.7567567567568,142.177164967269,1316.5,440.7567567567568,142.177164967269,1316.5,3.5244226455688478e-09,-0.0014142497450113296,559.7652812890625,549.7677909375,2.0971781466674804,0.001153292960859835,nan,nan,0.039309999994039536,nan,0.30704188346862793,0.3193569779396057,80.09380054473877,76.17574334144592,0.0,156.26957440376282
18,18,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,1800000,100000,74,74,4,1,426.9189189189189,148.54872317050732,1293.081081081081,426.9189189189189,148.54872317050732,1293.081081081081,-1.1227130889892578e-08,-0.0015544820046424865,580.3511544824219,569.3021025878907,2.0988899375915526,0.0009497846237197518,nan,nan,0.01758000000536442,nan,0.25529277324676514,0.27217012643814087,80.2094943523407,75.72629427909851,0.0,155.9358193874359
19,19,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,1900000,100000,68,68,4,1,481.2352941176471,159.716303419077,1406.9411764705883,481.2352941176471,159.716303419077,1406.9411764705883,-2.1243095397949218e-09,-0.0016964315795898438,636.7911513085937,601.3771643261719,2.09845424697876,0.0010085215735808014,nan,nan,0.02887999999523163,nan,0.28599268198013306,0.3152667284011841,81.05917596817017,75.82041907310486,0.0,156.8796317577362
20,20,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,2000000,100000,73,73,4,1,444.0,172.14329806441245,1326.123287671233,444.0,172.14329806441245,1326.123287671233,-4.530251026153565e-09,-0.001713535140454769,648.0480705371094,623.8558827832031,2.095154946060181,0.0011552755839005114,nan,nan,0.034020000006556514,nan,0.2270498275756836,0.2550947666168213,80.50149631500244,75.82043695449829,0.0,156.32196354866028
21,21,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,2100000,100000,70,70,4,1,497.48571428571427,172.41036949732487,1400.2,497.48571428571427,172.41036949732487,1400.2,5.903244018554688e-09,-0.0015462390565872193,672.9633330664062,656.5369198046875,2.0932255883789064,0.0009725231477990746,nan,nan,0.01209000000178814,nan,0.2414732575416565,0.2535817623138428,80.49752736091614,75.73930811882019,0.0,156.23686575889587
22,22,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,2200000,100000,71,71,4,1,492.3380281690141,166.0405468605355,1383.394366197183,492.3380281690141,166.0405468605355,1383.394366197183,-1.4734268188476562e-09,-0.0014955220198631287,611.1323340527343,596.0755052636719,2.085724690856934,0.0010752880945801735,nan,nan,0.03234999999940395,nan,0.2979857921600342,0.3146163821220398,80.46640419960022,75.94344902038574,0.0,156.40988945960999
23,23,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,2300000,100000,71,71,4,1,486.36619718309856,169.24631932142108,1368.8450704225352,486.36619718309856,169.24631932142108,1368.8450704225352,1.0633468627929689e-09,-0.0016157485508918761,601.4236040039062,594.9139655273437,2.0665740660858156,0.0015214142141118645,nan,nan,0.051700000073909756,nan,0.3340339660644531,0.34087133407592773,80.76122045516968,75.5315899848938,0.0,156.29284048080444
24,24,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,2400000,100000,70,70,4,1,504.45714285714286,166.977217069899,1394.3,504.45714285714286,166.977217069899,1394.3,-9.784698486328125e-09,-0.0016261511039733887,674.9275923535156,660.8616853417968,2.0598560874176024,0.0008805593616515398,nan,nan,0.021120000003576278,nan,0.30752331018447876,0.3211071491241455,80.11546587944031,75.7555205821991,0.0,155.87101769447327
25,25,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,2500000,100000,68,68,4,1,518.5294117647059,188.6770093064612,1415.3235294117646,518.5294117647059,188.6770093064612,1415.3235294117646,5.650520324707032e-10,-0.0017909175944328308,606.7930827148438,599.1334076171875,2.0552063793945314,0.0017231884119287134,nan,nan,0.08989000007629394,nan,0.34677112102508545,0.3552896976470947,81.12772965431213,76.01139569282532,0.016679763793945312,157.1558449268341
26,26,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,2600000,100000,68,68,4,1,517.1176470588235,164.49115204273457,1404.8235294117646,517.1176470588235,164.49115204273457,1404.8235294117646,2.5844573974609377e-09,-0.001561643419265747,616.9408663867188,602.4505152929687,2.0582310165405273,0.0007037794140540063,nan,nan,0.01421000002026558,nan,0.3227013349533081,0.339145302772522,81.81711435317993,76.10368394851685,0.0,157.92082929611206
27,27,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,2700000,100000,71,71,4,1,476.50704225352115,166.03400917862518,1353.6901408450703,476.50704225352115,166.03400917862518,1353.6901408450703,-4.9591064453125e-10,-0.0015048663330078124,641.042028671875,615.7854115820312,2.0633697357177736,0.001103437133654952,nan,nan,0.03377,nan,0.2687609791755676,0.28215867280960083,80.47220993041992,75.97827339172363,0.0,156.4505157470703
28,28,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,2800000,100000,69,69,4,1,502.8985507246377,197.76711123883737,1409.4202898550725,502.8985507246377,197.76711123883737,1409.4202898550725,4.0769577026367186e-10,-0.0015720410370826722,620.652385078125,606.0039014746094,2.0616871672821047,0.0008175270129740238,nan,nan,0.012850000003278255,nan,0.26105695962905884,0.2782527208328247,80.65594577789307,75.92864513397217,0.0,156.58463311195374
29,29,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,2900000,100000,72,72,4,1,511.44444444444446,150.17220567743118,1379.7777777777778,511.44444444444446,150.17220567743118,1379.7777777777778,1.6880035400390626e-09,-0.0016154767417907714,592.2187288671875,571.8853131738281,2.0555868743896486,0.0010978654911741614,nan,nan,0.035890000007748606,nan,0.3249014616012573,0.34836477041244507,81.30441403388977,75.91770362854004,0.0,157.22214937210083
30,30,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,3000000,100000,72,72,4,1,493.55555555555554,160.0216034798018,1359.5833333333333,493.55555555555554,160.0216034798018,1359.5833333333333,3.3855438232421877e-09,-0.0016237940955162048,625.8089666015625,605.3701403515626,2.0475692871856688,0.0009277592041157186,nan,nan,0.0354600000038743,nan,0.3269973397254944,0.34566473960876465,81.03371286392212,75.87623882293701,0.0,156.90998196601868
31,31,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,3100000,100000,75,75,4,1,483.41333333333336,143.07509388041265,1311.3733333333332,483.41333333333336,143.07509388041265,1311.3733333333332,-2.1076202392578127e-09,-0.0015969695377349854,567.431498828125,559.70458296875,2.049996628112793,0.0007059888213127852,nan,nan,0.01708000002145767,nan,0.36544346809387207,0.37522631883621216,80.99067044258118,75.86329746246338,0.0,156.85399985313416
32,32,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,3200000,100000,70,70,4,1,505.9428571428571,160.70379902294832,1404.8714285714286,505.9428571428571,160.70379902294832,1404.8714285714286,3.1328201293945314e-09,-0.0015910992765426637,621.0377273828125,604.635818984375,2.048914668884277,0.0007666860441863537,nan,nan,0.017700000012516974,nan,0.3474818468093872,0.364474892616272,80.9753053188324,75.61137390136719,0.0,156.5867121219635
33,33,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,3300000,100000,69,69,4,1,523.5942028985507,160.13638379727755,1420.0144927536232,523.5942028985507,160.13638379727755,1420.0144927536232,4.886388778686523e-09,-0.0016673579078912734,558.8747947265625,547.8229949804687,2.0499191813659667,0.0008419739153981209,nan,nan,0.019570000005364418,nan,0.3800503611564636,0.3919869065284729,81.0373466014862,75.8380856513977,0.0,156.8754734992981
34,34,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,3400000,100000,68,68,4,1,510.11764705882354,190.1695473712993,1439.3529411764705,510.11764705882354,190.1695473712993,1439.3529411764705,-1.0957717895507813e-08,-0.0016924352741241454,605.8890449609376,587.8059241992188,2.0510982232666017,0.0008685944353416562,nan,nan,0.026070000004768373,nan,0.29008013010025024,0.3110851049423218,80.1058452129364,75.8764910697937,0.0,155.98236870765686
35,35,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,3500000,100000,70,70,4,1,508.2857142857143,157.31652740865584,1378.3428571428572,508.2857142857143,157.31652740865584,1378.3428571428572,8.414983749389648e-09,-0.002005044745206833,635.6983523242187,606.0289721679687,2.044225120010376,0.0010585087861306965,nan,nan,0.05108000001788139,nan,0.35686272382736206,0.3768107295036316,81.14997506141663,75.87060832977295,0.0,157.02061438560486
36,36,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,3600000,100000,70,70,4,1,510.0571428571429,162.81908327205082,1374.0857142857142,510.0571428571429,162.81908327205082,1374.0857142857142,-2.338886260986328e-09,-0.0018982368755340576,594.9278682714844,585.3817901757812,2.026259698448181,0.0009920572346076369,nan,nan,0.042840000035762785,nan,0.33551710844039917,0.34817177057266235,80.56744861602783,75.93537878990173,0.0,156.50285935401917
37,37,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,3700000,100000,66,66,4,1,559.2727272727273,164.25539476907235,1460.6666666666667,559.2727272727273,164.25539476907235,1460.6666666666667,7.635354995727539e-10,-0.0017036036896705628,629.2142470800782,591.5488130371094,2.030094547958374,0.0010615102652087808,nan,nan,0.045510000020265576,nan,0.39227837324142456,0.41130495071411133,80.9825963973999,75.9461088180542,0.0,156.92873644828796
38,38,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,3800000,100000,64,64,4,1,562.875,190.46189743620639,1513.34375,562.875,190.46189743620639,1513.34375,5.319118499755859e-09,-0.0015981653833389282,629.703327890625,610.0938610742187,2.028748059082031,0.0006525277453288436,nan,nan,0.019820000002086162,nan,0.3446506857872009,0.3589271903038025,80.9183599948883,75.70282435417175,0.0,156.62122774124146
39,39,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,3900000,100000,67,67,4,1,536.3582089552239,145.4220519002593,1443.7761194029852,536.3582089552239,145.4220519002593,1443.7761194029852,9.707361459732055e-10,-0.0018100173772126436,583.988895078125,573.7491286328125,2.02242707862854,0.0009198760105296969,nan,nan,0.04336000007152557,nan,0.399167001247406,0.40984177589416504,81.28607177734375,76.19105005264282,0.0,157.4771547317505
40,40,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,4000000,100000,68,68,4,1,542.4705882352941,160.98816823424846,1415.0,542.4705882352941,160.98816823424846,1415.0,3.757476806640625e-09,-0.0018539817452430725,628.2255184570313,616.602965390625,2.0256726662826536,0.0006645522308535874,nan,nan,0.023160000022649764,nan,0.37777024507522583,0.3867250680923462,81.06151938438416,75.82132649421692,0.0,156.88288187980652
41,41,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,4100000,100000,69,69,4,1,537.9130434782609,159.25858465523737,1419.0144927536232,537.9130434782609,159.25858465523737,1419.0144927536232,-1.018047332763672e-09,-0.0015146603512763976,587.4106456054687,576.3981800878906,2.029701021118164,0.0010365468638390302,nan,nan,0.055139999992847445,nan,0.40128618478775024,0.4129105806350708,81.51627087593079,75.9501039981842,0.0,157.46640539169312
42,42,ppo,clip,gae,ALE/BeamRider-v5,atari,0,1,1.0,4200000,100000,73,73,4,1,503.28767123287673,158.33149544781426,1345.876712328767,503.28767123287673,158.33149544781426,1345.876712328767,3.222227096557617e-09,-0.002037637629508972,619.8857208691406,605.2040378466797,2.032343888549805,0.0008778100090846419,nan,nan,0.03881999999403953,nan,0.36290645599365234,0.3724680542945862,80.4869601726532,75.60852122306824,0.0,156.0955138206482
