iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,102939,102939,79,79,4,1,355.6455696202532,162.15784137175243,1303.0253164556962,355.6455696202532,162.15784137175243,1303.0253164556962,25.984621581106286,26.013289196150147,nan,nan,2.18919919161773,0.003828780070483803,1.0,0.5504521131515503,nan,nan,nan,nan,68.9849169254303,71.57709002494812,0.0,140.56203269958496
2,2,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,208758,105819,79,79,4,1,353.873417721519,160.39929346482603,1339.4810126582279,353.873417721519,160.39929346482603,1339.4810126582279,25.036247035031515,25.07727522940115,nan,nan,2.185153773040522,0.005532484093696133,1.0,0.6360834240913391,nan,nan,nan,nan,69.97879528999329,72.35202264785767,0.0,142.33082509040833
3,3,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,310197,101439,77,77,4,1,384.3636363636364,163.10644354052724,1317.3896103896104,384.3636363636364,163.10644354052724,1317.3896103896104,27.700051724435376,27.725128063417422,nan,nan,2.173597228845661,0.0039052513978917337,1.0,0.46588778495788574,nan,nan,nan,nan,65.17799687385559,69.49960255622864,0.0,134.6776044368744
4,4,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,414550,104353,77,77,4,1,405.14285714285717,137.74866198098266,1355.2337662337663,405.14285714285717,137.74866198098266,1355.2337662337663,28.52640601492051,28.562436663296694,nan,nan,2.169680094996071,0.004655021777772594,1.0,0.6316719055175781,nan,nan,nan,nan,67.95752763748169,71.31608605384827,0.0,139.27361822128296
5,5,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,518381,103831,76,76,4,1,407.10526315789474,147.24358434306708,1366.1973684210527,407.10526315789474,147.24358434306708,1366.1973684210527,28.3276013124693,28.365390333811675,nan,nan,2.1567128916219627,0.004699719055577817,1.0,0.6321964859962463,nan,nan,nan,nan,68.94048547744751,70.88052821159363,0.0,139.82101845741272
6,6,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,622945,104564,77,77,4,1,409.8181818181818,141.910592602519,1357.974025974026,409.8181818181818,141.910592602519,1357.974025974026,28.753034774157452,28.77588112902146,nan,nan,2.156655889275946,0.0052436754787557015,1.0,0.35449838638305664,nan,nan,nan,nan,67.85649514198303,71.58364152908325,0.0,139.44014072418213
7,7,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,727996,105051,75,75,4,1,417.6,167.08704318408414,1400.68,417.6,167.08704318408414,1400.68,28.38428254490676,28.427914923465746,nan,nan,2.144578697192316,0.005338596683921641,1.0,0.6769759058952332,nan,nan,nan,nan,67.54545831680298,71.82375836372375,0.0,139.36922121047974
8,8,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,830438,102442,77,77,4,1,433.2987012987013,142.6989442834532,1330.4155844155844,433.2987012987013,142.6989442834532,1330.4155844155844,31.026787718904355,31.07743642439136,nan,nan,2.1267722776211175,0.006579227904665673,1.0,0.6982406377792358,nan,nan,nan,nan,66.45790767669678,70.21552872657776,0.0,136.6734414100647
9,9,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,932786,102348,76,76,4,1,430.42105263157896,149.52286070222232,1346.6842105263158,430.42105263157896,149.52286070222232,1346.6842105263158,30.429503767171806,30.473202639523976,nan,nan,2.0970605877129986,0.004534080518898002,1.0,0.7128050327301025,nan,nan,nan,nan,66.55814981460571,70.11763572692871,0.0,136.67579078674316
10,10,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,1035608,102822,75,75,4,1,437.0133333333333,181.11959167602186,1370.96,437.0133333333333,181.11959167602186,1370.96,30.26627440807901,30.297857583980083,nan,nan,2.1130615799482357,0.006277819930870106,1.0,0.46923917531967163,nan,nan,nan,nan,65.73560738563538,70.28070330619812,0.0,136.01631593704224
11,11,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,1138371,102763,76,76,4,1,443.2105263157895,154.32163232996905,1352.1447368421052,443.2105263157895,154.32163232996905,1352.1447368421052,31.1148332510242,31.165273037231298,nan,nan,2.074767133324981,0.005123388697301025,1.0,0.8050733208656311,nan,nan,nan,nan,66.51660084724426,70.29718494415283,0.0,136.8137903213501
12,12,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,1242232,103861,72,72,4,1,487.55555555555554,148.17940411025123,1442.513888888889,487.55555555555554,148.17940411025123,1442.513888888889,32.13723766019006,32.18988359441946,nan,nan,2.054597517204485,0.004352372308128613,1.0,0.916439414024353,nan,nan,nan,nan,66.59169149398804,70.91231489181519,0.0,137.50401067733765
13,13,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,1346242,104010,75,75,4,1,472.26666666666665,170.15046935645586,1386.8,472.26666666666665,170.15046935645586,1386.8,32.36030715195654,32.389879428660706,nan,nan,2.046588650580473,0.004234155986585928,1.0,0.5290517210960388,nan,nan,nan,nan,66.97961711883545,70.97821044921875,0.0,137.95783185958862
14,14,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,1449029,102787,73,73,4,1,494.73972602739724,167.40779735013413,1408.041095890411,494.73972602739724,167.40779735013413,1408.041095890411,33.51287963823246,33.550817923229594,nan,nan,2.033459799603792,0.0045959833633869955,1.0,0.6726183891296387,nan,nan,nan,nan,66.65816855430603,70.21510863304138,0.0,136.87328147888184
15,15,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,1552717,103688,70,70,4,1,509.42857142857144,184.84159793328615,1481.2571428571428,509.42857142857144,184.84159793328615,1481.2571428571428,32.83192682012383,32.8525456176221,nan,nan,1.994138129156098,0.003442234004624306,1.0,0.4299834072589874,nan,nan,nan,nan,67.5791335105896,70.80479598045349,0.0,138.3839340209961
16,16,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,1655010,102293,73,73,4,1,478.24657534246575,170.44661565910184,1401.2739726027398,478.24657534246575,170.44661565910184,1401.2739726027398,32.636968530349094,32.66591234859668,nan,nan,1.9975477677709497,0.0038595259373474843,1.0,0.5265241265296936,nan,nan,nan,nan,67.84643125534058,69.80862951278687,0.0,137.6550648212433
17,17,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,1757051,102041,71,71,4,1,498.19718309859155,178.71502373996128,1437.1971830985915,498.19718309859155,178.71502373996128,1437.1971830985915,33.05390939671309,33.10580612204898,nan,nan,1.9947893187542263,0.0054850983935863734,1.0,0.8000089526176453,nan,nan,nan,nan,66.41828775405884,69.73043322563171,0.0,136.14872527122498
18,18,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,1860225,103174,80,80,4,1,454.85,158.6306322877142,1289.675,454.85,158.6306322877142,1289.675,33.37496183631535,33.40911363933743,nan,nan,1.9605991001851242,0.004782177529288724,1.0,0.5387551784515381,nan,nan,nan,nan,66.19769763946533,70.60527873039246,0.0,136.80298113822937
19,19,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,1964671,104446,79,79,4,1,457.62025316455697,154.43029674204038,1322.1012658227849,457.62025316455697,154.43029674204038,1322.1012658227849,32.87318461812803,32.89992047325891,nan,nan,2.0039218269787735,0.00385389912243286,1.0,0.4804760217666626,nan,nan,nan,nan,68.20486974716187,71.62337446212769,0.0,139.82824873924255
20,20,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,2068871,104200,73,73,4,1,499.3972602739726,194.14856193668533,1427.3972602739725,499.3972602739726,194.14856193668533,1427.3972602739725,33.4965088171785,33.53294580734165,nan,nan,2.001374853796785,0.005917173564369699,1.0,0.5537954568862915,nan,nan,nan,nan,68.38148999214172,71.56698751449585,0.0,139.94848203659058
21,21,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,2172562,103691,71,71,4,1,528.169014084507,168.20435139616762,1460.4366197183099,528.169014084507,168.20435139616762,1460.4366197183099,34.60018212164026,34.62924654140668,nan,nan,1.9355655132346345,0.004738561412888676,1.0,0.4906884431838989,nan,nan,nan,nan,67.39029884338379,71.22704267501831,0.0,138.6173460483551
22,22,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,2276141,103579,77,77,4,1,471.5844155844156,182.4583461199139,1345.1818181818182,471.5844155844156,182.4583461199139,1345.1818181818182,33.42261175648539,33.45312665936145,nan,nan,1.9456683576062714,0.004159799655398313,1.0,0.5168332457542419,nan,nan,nan,nan,67.39377737045288,71.19108366966248,0.0,138.58486580848694
23,23,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,2379312,103171,75,75,4,1,479.62666666666667,176.54602975491187,1375.6133333333332,479.62666666666667,176.54602975491187,1375.6133333333332,33.2068563658877,33.241368698568394,nan,nan,1.9619848547859864,0.004270702191963137,1.0,0.6023534536361694,nan,nan,nan,nan,67.2051465511322,70.41932272911072,0.0,137.62447333335876
24,24,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,2482637,103325,75,75,4,1,490.56,158.16904374750453,1377.6666666666667,490.56,158.16904374750453,1377.6666666666667,33.86021367650617,33.898648530123396,nan,nan,1.943759130020566,0.005205369496480543,1.0,0.6126901507377625,nan,nan,nan,nan,67.17142486572266,70.65214228630066,0.0,137.82357144355774
25,25,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,2585566,102929,71,71,4,1,520.6760563380282,157.34413478310753,1449.7042253521126,520.6760563380282,157.34413478310753,1449.7042253521126,34.370248696917294,34.39988213963023,nan,nan,1.911395461313138,0.0026633876653742454,1.0,0.6038549542427063,nan,nan,nan,nan,66.67352604866028,70.27302122116089,0.01170802116394043,136.95826148986816
26,26,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,2687445,101879,72,72,4,1,478.44444444444446,176.36648151638434,1414.986111111111,478.44444444444446,176.36648151638434,1414.986111111111,32.228312968079784,32.270269909647716,nan,nan,1.9280332752655724,0.0038196335854972577,1.0,0.7795186042785645,nan,nan,nan,nan,66.5557541847229,69.73387026786804,0.0,136.28963971138
27,27,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,2789455,102010,76,76,4,1,476.6842105263158,146.73770104709718,1342.2368421052631,476.6842105263158,146.73770104709718,1342.2368421052631,33.87984878933438,33.91599276418979,nan,nan,1.951924008101228,0.007091230711744584,1.0,0.458171010017395,nan,nan,nan,nan,65.92263960838318,69.49963235855103,0.0,135.42227721214294
28,28,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,2891554,102099,71,71,4,1,505.07042253521126,149.42060154954237,1438.0140845070423,505.07042253521126,149.42060154954237,1438.0140845070423,33.59678121847423,33.65613139575314,nan,nan,1.9212997980973123,0.005498507841284413,1.0,0.8643341064453125,nan,nan,nan,nan,65.49870443344116,69.77414894104004,0.0,135.27285838127136
29,29,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,2993463,101909,71,71,4,1,504.84507042253523,169.25209532373273,1435.338028169014,504.84507042253523,169.25209532373273,1435.338028169014,33.576727153637066,33.61444110063881,nan,nan,1.9358481835663435,0.005530398881158475,1.0,0.572068452835083,nan,nan,nan,nan,66.5704779624939,69.82362985610962,0.0,136.39411163330078
30,30,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,3096996,103533,76,76,4,1,478.63157894736844,163.05188406610617,1362.2763157894738,478.63157894736844,163.05188406610617,1362.2763157894738,33.48375065196604,33.541449344653394,nan,nan,1.9652360332122367,0.005784035154127344,1.0,0.9084728360176086,nan,nan,nan,nan,67.93333506584167,70.83899736404419,0.0,138.7723376750946
31,31,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,3198896,101900,73,73,4,1,478.7945205479452,188.7193290986778,1395.890410958904,478.7945205479452,188.7193290986778,1395.890410958904,32.67873359298332,32.72023521835133,nan,nan,1.9177600732565627,0.004690348667177619,1.0,0.676299512386322,nan,nan,nan,nan,65.84117436408997,69.83840799331665,0.0,135.6795871257782
32,32,trpo,trpo_paper,trpo_paper,ALE/BeamRider-v5,atari,0,1,1.0,3302117,103221,74,74,4,1,476.05405405405406,156.50160968793898,1394.8783783783783,476.05405405405406,156.50160968793898,1394.8783783783783,32.48677004315982,32.542497257098844,nan,nan,1.9377172977155812,0.0083306076469964,1.0,0.613248884677887,nan,nan,nan,nan,68.17582201957703,70.57136225700378,0.0,138.7471890449524
