iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,100000,100000,28,28,4,1,0.0,0.0,3324.214285714286,0.0,0.0,3324.214285714286,-1.3148307800292968e-07,-0.00047320544242858886,0.025959663842916487,5.220927686430514e-05,2.191129387664795,0.001499276990815997,nan,nan,0.02791000001490116,nan,-0.19110989570617676,-0.022475361824035645,86.65417551994324,78.84059143066406,0.0,165.49498510360718
2,2,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,200000,100000,28,28,4,1,0.0,0.0,3324.5,0.0,0.0,3324.5,-2.3251771926879885e-09,-0.0008365643787384033,4.061983042629436e-06,1.526526028465014e-06,2.19039943939209,0.0010517793422192335,nan,nan,0.00025,nan,-123.44300079345703,-47.462745666503906,86.77963185310364,76.78001594543457,0.0,163.55968928337097
3,3,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,300000,100000,28,28,4,1,0.0,0.0,3325.1428571428573,0.0,0.0,3325.1428571428573,-3.3646821975708008e-09,-0.00042422594010829923,1.6485434079731932e-06,1.1515558323299047e-06,2.1878324704742433,0.0009065880952589214,nan,nan,0.00119,nan,nan,nan,86.26313853263855,76.58639526367188,0.0,162.84956908226013
4,4,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,400000,100000,28,28,4,1,0.0,0.0,3324.8571428571427,0.0,0.0,3324.8571428571427,5.323067307472229e-09,-0.0008322691343724727,1.1437778220351902e-06,8.914360618473438e-07,2.1879510204315187,0.0017215016622468828,nan,nan,0.04074000006437302,nan,nan,nan,85.27978992462158,76.85900616645813,0.0,162.13885045051575
5,5,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,500000,100000,28,28,4,1,0.0,0.0,3324.8571428571427,0.0,0.0,3324.8571428571427,8.647441864013671e-09,-0.0006551770396530628,9.379601480759448e-07,8.823423953981547e-07,2.186967628097534,0.0009464855842851103,nan,nan,0.01302,nan,nan,nan,85.26396012306213,76.74635076522827,0.0,162.0103464126587
6,6,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,600000,100000,28,28,4,1,0.0,0.0,3325.1428571428573,0.0,0.0,3325.1428571428573,-9.616315364837647e-09,-0.000521191539466381,8.714244758084532e-07,7.065949911702773e-07,2.1883046509552,0.001078786593005061,nan,nan,0.0006000000002980233,nan,nan,nan,85.38481211662292,76.8887448310852,0.0,162.2735893726349
7,7,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,700000,100000,28,28,4,1,0.0,0.0,3324.8214285714284,0.0,0.0,3324.8214285714284,8.706226944923401e-09,-0.00021055219605565072,7.544026546202076e-07,6.46698657565139e-07,2.1896761485290526,0.00046869595943018795,nan,nan,2e-05,nan,nan,nan,85.13725471496582,76.60652232170105,0.0,161.74380898475647
8,8,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,800000,100000,28,28,4,1,0.0,0.0,3324.6428571428573,0.0,0.0,3324.6428571428573,4.762411117553711e-10,-0.00043613282054662706,6.341105565115868e-07,6.158329302161292e-07,2.189962527999878,0.0008055240708589554,nan,nan,0.00021000000029802323,nan,nan,nan,86.94407081604004,77.05388140678406,0.0,163.99798703193665
9,9,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,900000,100000,28,28,4,1,0.0,0.0,3324.25,0.0,0.0,3324.25,1.237034797668457e-08,-0.0006303322875499725,6.129064526612638e-07,5.217556875868468e-07,2.1915458100891114,0.001582066251039505,nan,nan,0.00257,nan,nan,nan,84.97051501274109,76.87754797935486,0.0,161.84810185432434
10,10,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,1000000,100000,28,28,4,1,0.0,0.0,3323.9285714285716,0.0,0.0,3323.9285714285716,-2.1767616271972654e-09,-0.0003927213269472122,5.46791135238891e-07,6.946936553868e-07,2.189906620864868,0.0006086526059545577,nan,nan,0.00014000000014901162,nan,nan,nan,85.91830134391785,76.72578501701355,0.0,162.6441295146942
11,11,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,1100000,100000,28,28,4,1,0.0,0.0,3325.0714285714284,0.0,0.0,3325.0714285714284,4.17955219745636e-09,-0.0006164897336810827,7.034158128772106e-07,4.695252270994388e-07,2.1890793941497804,0.0014420760228484868,nan,nan,0.00308,nan,nan,nan,85.12935209274292,76.94679713249207,0.0,162.07618308067322
12,12,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,1200000,100000,28,28,4,1,0.0,0.0,3325.3214285714284,0.0,0.0,3325.3214285714284,2.090930938720703e-09,-0.0006779754018783569,4.77769741873999e-07,5.885945679801808e-07,2.1850320252990723,0.0014851552014425397,nan,nan,0.004550000000298023,nan,nan,nan,84.77222537994385,76.94268321990967,0.0,161.71494221687317
13,13,ppo,clip,gae,ALE/Enduro-v5,atari,0,1,1.0,1300000,100000,28,28,4,1,0.0,0.0,3324.535714285714,0.0,0.0,3324.535714285714,-7.440745830535889e-09,-0.00048488155126571656,5.695962600111671e-07,4.6445737298199676e-07,2.1834038156890867,0.0012076916197314859,nan,nan,0.00017,nan,nan,nan,85.5174629688263,76.88300561904907,0.0,162.40050268173218
