iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,trpo,trpo_paper,trpo_paper,ALE/Enduro-v5,atari,0,1,1.0,106376,106376,32,32,4,1,0.0,0.0,3324.25,0.0,0.0,3324.25,0.0,0.0,nan,nan,2.1893449077446983,0.0,0.0,0.0,nan,nan,nan,nan,74.41989612579346,82.04863667488098,0.0,156.46855235099792
2,2,trpo,trpo_paper,trpo_paper,ALE/Enduro-v5,atari,0,1,1.0,212760,106384,32,32,4,1,0.0,0.0,3324.5,0.0,0.0,3324.5,0.0,0.0,nan,nan,2.189344365106595,0.0,0.0,0.0,nan,nan,nan,nan,74.74950528144836,80.7004246711731,0.0,155.44993782043457
3,3,trpo,trpo_paper,trpo_paper,ALE/Enduro-v5,atari,0,1,1.0,319166,106406,32,32,4,1,0.0,0.0,3325.1875,0.0,0.0,3325.1875,0.0,0.0,nan,nan,2.189344369237872,0.0,0.0,0.0,nan,nan,nan,nan,73.05308294296265,80.56386399269104,0.0,153.61696434020996
4,4,trpo,trpo_paper,trpo_paper,ALE/Enduro-v5,atari,0,1,1.0,425563,106397,32,32,4,1,0.0,0.0,3324.90625,0.0,0.0,3324.90625,0.0,0.0,nan,nan,2.1893444151092134,0.0,0.0,0.0,nan,nan,nan,nan,72.44051003456116,80.40089726448059,0.0,152.8414125442505
5,5,trpo,trpo_paper,trpo_paper,ALE/Enduro-v5,atari,0,1,1.0,531950,106387,32,32,4,1,0.0,0.0,3324.59375,0.0,0.0,3324.59375,0.0,0.0,nan,nan,2.1893453595422843,0.0,0.0,0.0,nan,nan,nan,nan,73.15463972091675,80.6655375957489,0.0,153.82018208503723
6,6,trpo,trpo_paper,trpo_paper,ALE/Enduro-v5,atari,0,1,1.0,638347,106397,32,32,4,1,0.0,0.0,3324.90625,0.0,0.0,3324.90625,0.0,0.0,nan,nan,2.189344929103969,0.0,0.0,0.0,nan,nan,nan,nan,72.87551999092102,80.721999168396,0.0,153.59752416610718
7,7,trpo,trpo_paper,trpo_paper,ALE/Enduro-v5,atari,0,1,1.0,744732,106385,32,32,4,1,0.0,0.0,3324.53125,0.0,0.0,3324.53125,0.0,0.0,nan,nan,2.1893459266461437,0.0,0.0,0.0,nan,nan,nan,nan,72.55198192596436,80.58631134033203,0.0,153.13829803466797
8,8,trpo,trpo_paper,trpo_paper,ALE/Enduro-v5,atari,0,1,1.0,851122,106390,32,32,4,1,0.0,0.0,3324.6875,0.0,0.0,3324.6875,0.0,0.0,nan,nan,2.1893479510821034,0.0,0.0,0.0,nan,nan,nan,nan,72.40661883354187,80.61777687072754,0.0,153.02440071105957
9,9,trpo,trpo_paper,trpo_paper,ALE/Enduro-v5,atari,0,1,1.0,957499,106377,32,32,4,1,0.0,0.0,3324.28125,0.0,0.0,3324.28125,0.0,0.0,nan,nan,2.1893481401936037,0.0,0.0,0.0,nan,nan,nan,nan,72.9909439086914,80.46591329574585,0.0,153.45686221122742
10,10,trpo,trpo_paper,trpo_paper,ALE/Enduro-v5,atari,0,1,1.0,1063862,106363,32,32,4,1,0.0,0.0,3323.84375,0.0,0.0,3323.84375,0.0,0.0,nan,nan,2.1893441049166533,0.0,0.0,0.0,nan,nan,nan,nan,72.87442302703857,80.6533932685852,0.0,153.52782154083252
