iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,0,1,1.0,1000070,1000070,99842,99842,12,1,6.849408312285389,2.4373771391268835,10.016526111255784,6.849408312285389,2.4373771391268835,10.016526111255784,3.060614824295044,3.0669233798980713,nan,nan,2.7568154335021973,4.59611474070698e-05,nan,0.32167088985443115,nan,nan,nan,nan,91.23914957046509,0.8627879619598389,0.0,92.10195231437683
2,2,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,0,1,1.0,2000143,1000073,99131,99131,12,1,6.9337127897838595,2.5325328433040166,10.088398180185814,6.9337127897838595,2.5325328433040166,10.088398180185814,3.119874954223633,3.126725912094116,nan,nan,2.7570526599884033,4.988648652215488e-05,nan,0.33572784066200256,nan,nan,nan,nan,91.42708587646484,0.5606520175933838,0.0,91.98774409294128
3,3,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,0,1,1.0,3000211,1000068,98617,98617,12,1,6.993425382143071,2.5751560054574116,10.140929048744132,6.993425382143071,2.5751560054574116,10.140929048744132,3.154650926589966,3.1615543365478516,nan,nan,2.757298469543457,5.059925024397671e-05,nan,0.3370863199234009,nan,nan,nan,nan,90.97241997718811,0.5636188983917236,0.0,91.53604412078857
4,4,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,0,1,1.0,4000269,1000058,97991,97991,12,1,7.076407181336046,2.641378644771287,10.205610719351776,7.076407181336046,2.641378644771287,10.205610719351776,3.2104952335357666,3.217766523361206,nan,nan,2.757507562637329,5.3325733460951596e-05,nan,0.351914644241333,nan,nan,nan,nan,91.18730807304382,0.5622036457061768,0.0,91.7495174407959
5,5,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,0,1,1.0,5000314,1000045,97480,97480,12,1,7.143492671532986,2.721212539547121,10.258976200246204,7.143492671532986,2.721212539547121,10.258976200246204,3.2579822540283203,3.2654495239257812,nan,nan,2.7577109336853027,5.446511568152346e-05,nan,0.3593018054962158,nan,nan,nan,nan,91.41306400299072,0.5636811256408691,0.0,91.97675108909607
6,6,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,0,1,1.0,6000364,1000050,96841,96841,12,1,7.217941645477722,2.767750813827588,10.326721120186697,7.217941645477722,2.767750813827588,10.326721120186697,3.302527666091919,3.309972047805786,nan,nan,2.7578611373901367,5.409391087596305e-05,nan,0.3662530481815338,nan,nan,nan,nan,91.20454502105713,0.5612213611602783,0.0,91.76577234268188
7,7,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,0,1,1.0,7000411,1000047,96134,96134,12,1,7.305485098805829,2.8387792859828886,10.402635904050596,7.305485098805829,2.8387792859828886,10.402635904050596,3.3571951389312744,3.3650870323181152,nan,nan,2.758103370666504,5.793503441964276e-05,nan,0.3677917420864105,nan,nan,nan,nan,91.21862959861755,0.5623631477355957,0.0,91.78099846839905
8,8,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,0,1,1.0,8000457,1000046,95395,95395,12,1,7.406615910672464,2.975413171700876,10.483211908380943,7.406615910672464,2.975413171700876,10.483211908380943,3.4336068630218506,3.4420907497406006,nan,nan,2.7582309246063232,6.163951911730692e-05,nan,0.38674286007881165,nan,nan,nan,nan,91.11597347259521,0.5617935657501221,0.0,91.67777276039124
9,9,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,0,1,1.0,9000510,1000053,94607,94607,12,1,7.507314809252927,3.052118338369864,10.570602598116418,7.507314809252927,3.052118338369864,10.570602598116418,3.4963247776031494,3.5052528381347656,nan,nan,2.758237838745117,6.504019256681204e-05,nan,0.40120208263397217,nan,nan,nan,nan,91.45498585700989,0.5634007453918457,0.0,92.01839327812195
10,10,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,0,1,1.0,10000566,1000056,93932,93932,12,1,7.60567381767931,3.1752780024405323,10.64659540944513,7.60567381767931,3.1752780024405323,10.64659540944513,3.570803165435791,3.5803234577178955,nan,nan,2.7582685947418213,6.977114389883354e-05,nan,0.413997083902359,nan,nan,nan,nan,91.4552252292633,0.5625755786895752,0.0,92.0178062915802
11,11,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,0,1,1.0,11000630,1000064,93055,93055,12,1,7.729030639956605,3.2698004209075684,10.747020579227339,7.729030639956605,3.2698004209075684,10.747020579227339,3.65069580078125,3.6607418060302734,nan,nan,2.7583420276641846,7.281923899427056e-05,nan,0.4321543574333191,nan,nan,nan,nan,91.38595676422119,0.5613515377044678,0.0,91.9473135471344
