iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,1000157,1000157,37250,37250,12,1,19.801320494972963,12.754201071870252,26.849852348993288,19.801320494972963,12.754201071870252,26.849852348993288,10.17171859741211,10.568589210510254,nan,nan,2.7568156719207764,0.02502385526895523,nan,1.2791123390197754,nan,nan,nan,nan,96.91408801078796,0.8456754684448242,0.0,97.75977754592896
2,2,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,2000623,1000466,19026,19026,12,1,46.65544533317988,40.03220588634925,52.584148007989064,46.65544533317988,40.03220588634925,52.584148007989064,26.133317947387695,27.452932357788086,nan,nan,2.7450613975524902,0.09292776137590408,nan,2.284137010574341,nan,nan,nan,nan,98.80480647087097,0.5549819469451904,0.0,99.35979437828064
3,3,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,3002886,1002263,5044,5044,12,1,222.17367532854823,113.52369562237881,198.70400475812846,222.17367532854823,113.52369562237881,198.70400475812846,68.20716857910156,68.47071075439453,nan,nan,2.686737298965454,0.013636189512908459,nan,2.3029613494873047,nan,nan,nan,nan,100.96489596366882,0.5564639568328857,0.0,101.52136516571045
4,4,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,4006953,1004067,2351,2351,12,1,453.0722551943567,233.29445779681726,427.08081667375586,453.0722551943567,233.29445779681726,427.08081667375586,82.9694595336914,83.1475601196289,nan,nan,2.6652963161468506,0.008985072374343872,nan,1.882993221282959,nan,nan,nan,nan,101.90592527389526,0.5558302402496338,0.0,102.46175980567932
5,5,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,5013498,1006545,1081,1081,12,1,936.7530895919381,187.6151115853902,931.1239592969473,936.7530895919381,187.6151115853902,931.1239592969473,89.8413314819336,89.90470886230469,nan,nan,2.6656265258789062,0.0037872022949159145,nan,0.7879453301429749,nan,nan,nan,nan,102.43884038925171,0.5566251277923584,0.0,102.99547410011292
6,6,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,6019830,1006332,1222,1222,12,1,843.9910055018455,242.30550833284943,823.5122749590835,843.9910055018455,242.30550833284943,823.5122749590835,89.95549011230469,90.00634002685547,nan,nan,2.660506248474121,0.0020087629090994596,nan,1.2750244140625,nan,nan,nan,nan,102.51930332183838,0.5564360618591309,0.0,103.07574367523193
7,7,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,7027214,1007384,1176,1176,12,1,877.7577798867102,227.1428078848558,856.6190476190476,877.7577798867102,227.1428078848558,856.6190476190476,90.277587890625,90.33670043945312,nan,nan,2.6627914905548096,0.002704611513763666,nan,1.182032585144043,nan,nan,nan,nan,102.551833152771,0.5599160194396973,0.0,103.11175489425659
8,8,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,8032945,1005731,1042,1042,12,1,981.0532850785277,127.07098458264487,965.1928982725528,981.0532850785277,127.07098458264487,965.1928982725528,90.82268524169922,90.8537368774414,nan,nan,2.671782970428467,0.0016703858273103833,nan,0.6828300952911377,nan,nan,nan,nan,102.55333113670349,0.5577764511108398,0.0,103.11111259460449
9,9,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,9037957,1005012,1062,1062,12,1,964.544620742101,147.78599261276426,946.3389830508474,964.544620742101,147.78599261276426,946.3389830508474,90.8052978515625,90.84152221679688,nan,nan,2.6631669998168945,0.0018001279095187783,nan,0.785179853439331,nan,nan,nan,nan,102.53443717956543,0.5551910400390625,0.0,103.08963346481323
10,10,natural_pg,trpo_paper,trpo_paper,Hopper-v5,mujoco,1,1,1.0,10043052,1005095,1037,1037,12,1,986.2948403456394,113.07261539324419,969.2333654773385,986.2948403456394,113.07261539324419,969.2333654773385,90.87645721435547,90.9048080444336,nan,nan,2.6753053665161133,0.0013847221853211522,nan,0.7809682488441467,nan,nan,nan,nan,102.63121604919434,0.5564367771148682,0.0,103.1876573562622
