iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,ppo,clip,gae,Hopper-v5,mujoco,0,1,1.0,100000,100000,7847,7847,12,1,8.3303702895036,3.602427944058004,12.734420797757105,8.3303702895036,3.602427944058004,12.734420797757105,-1.329183578491211e-09,-0.01888842687726021,30.116151912231444,5.244552956848144,2.7566103894805907,0.016626969130039214,nan,nan,0.2390400000190735,nan,0.008781254291534424,0.646434873342514,11.325584888458252,1.8569598197937012,0.0,13.182640790939331
2,2,ppo,clip,gae,Hopper-v5,mujoco,0,1,1.0,200000,100000,6856,6856,12,1,10.546305931649739,5.7878855124922115,14.57117852975496,10.546305931649739,5.7878855124922115,14.57117852975496,2.812504768371582e-08,-0.03999486375331879,17.20249336303711,14.697894332885742,2.755744218826294,0.01511462313592434,nan,nan,0.22080000003814698,nan,0.4887692928314209,0.5287764966487885,11.24175214767456,1.3462929725646973,0.0,12.588085889816284
3,3,ppo,clip,gae,Hopper-v5,mujoco,0,1,1.0,300000,100000,5800,5800,12,1,13.85964724365143,9.706709432987315,17.22241379310345,13.85964724365143,9.706709432987315,17.22241379310345,-1.3599395751953125e-08,-0.03632878520011902,51.19692303955078,45.12922787597656,2.7545359134674072,0.01510944448620081,nan,nan,0.21950000000953673,nan,0.388974666595459,0.4267987012863159,11.102858304977417,1.3152594566345215,0.0,12.418151140213013
4,4,ppo,clip,gae,Hopper-v5,mujoco,0,1,1.0,400000,100000,4468,4468,12,1,21.551981398549398,20.374070573741882,22.346911369740376,21.551981398549398,20.374070573741882,22.346911369740376,-1.4150142669677734e-08,-0.032249410133361814,234.53070037597655,196.18208793457032,2.7524404485321043,0.024305305053591728,nan,nan,0.31108000000953673,nan,0.3037867546081543,0.3481929898262024,11.22488021850586,1.283154010772705,0.0,12.508078336715698
5,5,ppo,clip,gae,Hopper-v5,mujoco,0,1,1.0,500000,100000,2790,2790,12,1,47.544778278304896,49.46343125482981,35.74050179211469,47.544778278304896,49.46343125482981,35.74050179211469,-2.243995666503906e-08,-0.02452899401187897,1030.319921796875,776.0633741210937,2.7503719329833984,0.0181629834151268,nan,nan,0.2541199998664856,nan,0.24410301446914673,0.30410218238830566,11.552192211151123,1.2786107063293457,0.0,12.830837726593018
6,6,ppo,clip,gae,Hopper-v5,mujoco,0,1,1.0,600000,100000,1814,1814,12,1,89.70034623465281,64.5766284411659,54.893605292172,89.70034623465281,64.5766284411659,54.893605292172,-6.818771362304688e-10,-0.011894231615066529,1339.169309296875,1011.4097034960937,2.7472779791259767,0.017893904052972795,nan,nan,0.24803999998092652,nan,0.12049996852874756,0.2644074559211731,11.803501605987549,1.272416591644287,0.0,13.075949907302856
7,7,ppo,clip,gae,Hopper-v5,mujoco,0,1,1.0,700000,100000,1609,1609,12,1,109.54603544298737,52.4577477321122,61.89434431323804,109.54603544298737,52.4577477321122,61.89434431323804,1.127481460571289e-08,-0.019968294026851654,848.5849487109375,726.0586154101562,2.713932986984253,0.009707255754172802,nan,nan,0.12860999999761583,nan,0.2454943060874939,0.35182344913482666,11.857398271560669,3.545545816421509,0.0,15.402974843978882
8,8,ppo,clip,gae,Hopper-v5,mujoco,0,1,1.0,800000,100000,1337,1337,12,1,145.31646675010822,57.106142962425565,74.36948391922213,145.31646675010822,57.106142962425565,74.36948391922213,-7.326602935791016e-09,-0.009901070516109467,1083.5940596875,796.080879296875,2.7138137817382812,0.01642427127957344,nan,nan,0.24177000000953675,nan,0.38513439893722534,0.4309084415435791,11.86886191368103,1.2980144023895264,0.0,13.166913032531738
9,9,ppo,clip,gae,Hopper-v5,mujoco,0,1,1.0,900000,100000,1229,1229,12,1,161.95056592675934,66.4401782700771,80.91944670463792,161.95056592675934,66.4401782700771,80.91944670463792,-3.5572052001953123e-09,-0.006515340547561646,1022.53382265625,879.037719609375,2.7118325233459473,0.015376161279082298,nan,nan,0.19089000014305116,nan,0.40471458435058594,0.4601520895957947,11.861797094345093,1.3255648612976074,0.0,13.187397956848145
10,10,ppo,clip,gae,Hopper-v5,mujoco,0,1,1.0,1000000,100000,1096,1096,12,1,192.72314739471224,47.70132718839619,90.60583941605839,192.72314739471224,47.70132718839619,90.60583941605839,4.087209701538086e-08,-0.016492246909141542,600.1215247363281,444.1460348828125,2.660995964279175,0.009252442724704742,nan,nan,0.11473000001430511,nan,0.6788847148418427,0.7132712304592133,11.70536994934082,3.5595548152923584,0.0,15.264968395233154
11,11,ppo,clip,gae,Hopper-v5,mujoco,0,1,1.0,1100000,100000,1034,1034,12,1,211.88263145210323,24.023027258781095,96.22630560928434,211.88263145210323,24.023027258781095,96.22630560928434,-3.383040428161621e-08,-0.012318275727033616,179.64336287109376,114.44329657226562,2.6094281632995604,0.008425399269461632,nan,nan,0.10451000006198884,nan,0.9077154099941254,0.924732893705368,11.768696069717407,3.537862777709961,0.0,15.306591510772705
