iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,ppo,clip,gae,ALE/Pong-v5,atari,0,1,1.0,100000,100000,104,104,4,1,-20.10576923076923,0.9190114801196533,940.3365384615385,-20.10576923076923,0.9190114801196533,940.3365384615385,4.5118331909179685e-08,-0.00033157001495361327,4.330547944946289,0.6003524464035034,1.7882995070266723,0.0011075203444063663,nan,nan,0.0,nan,-6.854534149169922e-05,0.00169450044631958,78.01022577285767,78.33739924430847,0.0,156.34782576560974
2,2,ppo,clip,gae,ALE/Pong-v5,atari,0,1,1.0,200000,100000,106,106,4,1,-20.20754716981132,0.9973264367096235,928.7075471698113,-20.20754716981132,0.9973264367096235,928.7075471698113,-2.732276916503906e-09,-0.00043087178587913514,0.6158506326198578,0.6051852483558655,1.7876880863952638,0.002581211387887597,nan,nan,0.0060800000016391275,nan,0.001531839370727539,0.01532655954360962,78.31483745574951,76.82059907913208,0.0,155.13547658920288
3,3,ppo,clip,gae,ALE/Pong-v5,atari,0,1,1.0,300000,100000,105,105,4,1,-20.34285714285714,0.7907630001770314,931.847619047619,-20.34285714285714,0.7907630001770314,931.847619047619,-1.7957743257284165e-08,-0.0002857228709105402,0.5491720488929749,0.5263235710144043,1.785661431388855,0.0006889335255511105,nan,nan,0.0,nan,0.016390740871429443,0.05871778726577759,76.57556009292603,76.6383376121521,0.0,153.213937997818
4,4,ppo,clip,gae,ALE/Pong-v5,atari,0,1,1.0,400000,100000,104,104,4,1,-20.192307692307693,0.931055264377708,939.8173076923077,-20.192307692307693,0.931055264377708,939.8173076923077,5.292892456054688e-10,-0.000361474569439888,0.5783915149879456,0.5605402415847779,1.7845495003890992,0.0016645296538248659,nan,nan,0.0,nan,0.048944056034088135,0.08597820997238159,77.10737633705139,76.45962357521057,0.0,153.5670347213745
5,5,ppo,clip,gae,ALE/Pong-v5,atari,0,1,1.0,500000,100000,106,106,4,1,-20.443396226415093,0.7278838373947295,915.622641509434,-20.443396226415093,0.7278838373947295,915.622641509434,2.1949410438537596e-09,-0.0004890781593322753,0.4971066799449921,0.45931793358802797,1.7883802465820313,0.0020175874654203654,nan,nan,0.0,nan,0.10957843065261841,0.14411544799804688,77.66779494285583,75.9999794960022,0.0,153.66780734062195
6,6,ppo,clip,gae,ALE/Pong-v5,atari,0,1,1.0,600000,100000,104,104,4,1,-20.14423076923077,1.0323448778124305,950.3653846153846,-20.14423076923077,1.0323448778124305,950.3653846153846,-4.5490264892578124e-09,-0.00022125146627426147,0.5668607486724854,0.5317781109237671,1.7882036548233031,0.0012882488119229675,nan,nan,0.0,nan,0.12944328784942627,0.148112952709198,76.85608625411987,76.35355997085571,0.0,153.20967817306519
7,7,ppo,clip,gae,ALE/Pong-v5,atari,0,1,1.0,700000,100000,105,105,4,1,-20.19047619047619,0.8629433363866127,941.6285714285714,-20.19047619047619,0.8629433363866127,941.6285714285714,8.853673934936524e-09,-0.000513281044960022,0.4857687770938873,0.48230583996772763,1.7861702551651002,0.0009772582476958633,nan,nan,0.0,nan,0.18203049898147583,0.19121891260147095,76.88922023773193,76.25447702407837,0.0,153.14372730255127
8,8,ppo,clip,gae,ALE/Pong-v5,atari,0,1,1.0,800000,100000,102,102,4,1,-20.127450980392158,0.9566236441865139,955.2549019607843,-20.127450980392158,0.9566236441865139,955.2549019607843,-1.735687255859375e-09,-0.0006504591989517212,0.5412301525878906,0.5385346527671814,1.7796531115722656,0.0032536358643323183,nan,nan,1e-05,nan,0.16036850214004517,0.16742664575576782,77.19061732292175,75.98562121391296,0.0,153.17627692222595
9,9,ppo,clip,gae,ALE/Pong-v5,atari,0,1,1.0,900000,100000,104,104,4,1,-20.201923076923077,0.9027714560037596,943.4134615384615,-20.201923076923077,0.9027714560037596,943.4134615384615,-1.6889572143554688e-08,-8.704333782196046e-05,0.5611091238689423,0.5420183547592163,1.7787093217468262,0.0010302875215560197,nan,nan,0.0,nan,0.09392625093460083,0.1164478063583374,76.32658553123474,76.20081090927124,0.0,152.527428150177
10,10,ppo,clip,gae,ALE/Pong-v5,atari,0,1,1.0,1000000,100000,107,107,4,1,-20.27102803738318,0.8600162295571844,922.7476635514018,-20.27102803738318,0.8600162295571844,922.7476635514018,3.5619735717773438e-09,-0.00017651349544525147,0.5275912552165986,0.5077397655010223,1.785437715950012,0.0021101640428602695,nan,nan,1e-05,nan,0.15018802881240845,0.16938167810440063,76.40206718444824,76.1258704662323,0.0,152.52796816825867
