iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,ppo,clip,gae,ALE/Qbert-v5,atari,0,1,1.0,100000,100000,300,300,4,1,157.5,152.29494410518032,329.83666666666664,157.5,152.29494410518032,329.83666666666664,2.3206472396850587e-08,-0.0008144337832927704,4043.590597421875,2872.088244902344,1.7864020320892333,0.0019934005936980245,nan,nan,1e-05,nan,2.4437904357910156e-06,0.002782583236694336,80.42819452285767,78.33208990097046,0.0,158.76047444343567
2,2,ppo,clip,gae,ALE/Qbert-v5,atari,0,1,1.0,200000,100000,297,297,4,1,170.2861952861953,142.61743549465814,335.58249158249157,170.2861952861953,142.61743549465814,335.58249158249157,-2.950429916381836e-10,-0.0013125941184163094,2489.7956249609374,2431.3192037109375,1.779666675300598,0.003026507117599249,nan,nan,0.0,nan,-0.000933527946472168,0.02339804172515869,79.37040066719055,76.17043113708496,0.0,155.54087352752686
3,3,ppo,clip,gae,ALE/Qbert-v5,atari,0,1,1.0,300000,100000,288,288,4,1,210.67708333333334,147.14048663831352,345.15625,210.67708333333334,147.14048663831352,345.15625,-1.049518585205078e-08,-0.0008369136571884156,3142.473816875,2813.425935625,1.765621408958435,0.0034250938519090413,nan,nan,0.2752800001144409,nan,0.025407493114471436,0.10356301069259644,78.57498979568481,76.22263884544373,0.0,154.79766869544983
4,4,ppo,clip,gae,ALE/Qbert-v5,atari,0,1,1.0,400000,100000,285,285,4,1,204.03508771929825,154.95171459706813,348.2736842105263,204.03508771929825,154.95171459706813,348.2736842105263,-2.080202102661133e-09,-0.0009741616952419281,2502.3474169140627,2445.7022955859375,1.754162352142334,0.0016557515360042453,nan,nan,0.0,nan,0.055913567543029785,0.08039408922195435,79.18492293357849,76.60722708702087,0.0,155.7921814918518
5,5,ppo,clip,gae,ALE/Qbert-v5,atari,0,1,1.0,500000,100000,284,284,4,1,244.19014084507043,156.6081246025552,349.7323943661972,244.19014084507043,156.6081246025552,349.7323943661972,1.563549041748047e-08,-0.0005594343471527099,3049.9506229296876,2847.1861509765627,1.7476853268814088,0.0014914144474640488,nan,nan,0.0,nan,0.12194979190826416,0.15577101707458496,78.77993607521057,76.22829079627991,0.0,155.00827550888062
6,6,ppo,clip,gae,ALE/Qbert-v5,atari,0,1,1.0,600000,100000,282,282,4,1,245.39007092198582,160.63379668986866,351.7659574468085,245.39007092198582,160.63379668986866,351.7659574468085,1.7309188842773437e-09,-0.0010705493831634522,3105.71547125,3003.76191828125,1.7279344691467284,0.002074276103489101,nan,nan,0.0,nan,0.16358834505081177,0.18630611896514893,79.35126495361328,76.660409450531,0.0,156.01170659065247
7,7,ppo,clip,gae,ALE/Qbert-v5,atari,0,1,1.0,700000,100000,280,280,4,1,264.9107142857143,179.06874944574002,354.23571428571427,264.9107142857143,179.06874944574002,354.23571428571427,1.010894775390625e-09,-0.0006235028457641602,3399.77289,3276.87893890625,1.7309273791885376,0.0014192076187580823,nan,nan,0.0030100000001490115,nan,0.14768826961517334,0.17370551824569702,80.31971001625061,76.24375772476196,0.0,156.56350231170654
8,8,ppo,clip,gae,ALE/Qbert-v5,atari,0,1,1.0,800000,100000,277,277,4,1,270.3971119133574,177.52567636213146,359.1191335740072,270.3971119133574,177.52567636213146,359.1191335740072,-7.62939453125e-09,-0.0008680058765411377,3360.90477109375,3286.1520134375,1.7190285502624512,0.0010691249796375632,nan,nan,0.0,nan,0.15555351972579956,0.1744822859764099,79.36464500427246,76.00127601623535,0.0,155.36595487594604
9,9,ppo,clip,gae,ALE/Qbert-v5,atari,0,1,1.0,900000,100000,276,276,4,1,271.0144927536232,144.78389620933086,359.4130434782609,271.0144927536232,144.78389620933086,359.4130434782609,-1.5306472778320313e-09,-0.0007602460336685181,2461.821318574219,2383.0553897265627,1.7110966060638428,0.0006620499457418919,nan,nan,0.00040000000029802324,nan,0.247744619846344,0.2711384892463684,78.89081072807312,76.36770439147949,0.0,155.25854635238647
10,10,ppo,clip,gae,ALE/Qbert-v5,atari,0,1,1.0,1000000,100000,279,279,4,1,283.78136200716847,157.85565366676198,356.36917562724017,283.78136200716847,157.85565366676198,356.36917562724017,-3.2657384872436522e-09,-0.0007253191822767258,2967.0707727734375,2917.3661430859374,1.6993761959838867,0.0005994870521686971,nan,nan,0.0,nan,0.25366050004959106,0.2657995820045471,78.83691477775574,76.02352714538574,0.0,154.86048531532288
