iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,trpo,trpo_paper,trpo_paper,ALE/Qbert-v5,atari,0,1,1.0,100651,100651,304,304,4,1,160.69078947368422,149.83823442003572,331.0888157894737,160.69078947368422,149.83823442003572,331.0888157894737,34.70496132676278,34.802680254667116,nan,nan,1.7867563121112806,0.0050566657176368875,1.0,1.3847393989562988,nan,nan,nan,nan,65.6321930885315,69.64093136787415,0.0,135.2731430530548
2,2,trpo,trpo_paper,trpo_paper,ALE/Qbert-v5,atari,0,1,1.0,201419,100768,296,296,4,1,185.8108108108108,166.8128847894401,340.43243243243245,185.8108108108108,166.8128847894401,340.43243243243245,38.55111013044816,38.6296129320568,nan,nan,1.7860017487570459,0.007117744345039309,1.0,1.000854730606079,nan,nan,nan,nan,64.98372149467468,68.55447125434875,0.0,133.53819870948792
3,3,trpo,trpo_paper,trpo_paper,ALE/Qbert-v5,atari,0,1,1.0,302142,100723,295,295,4,1,209.0677966101695,162.75039268423868,341.43389830508477,209.0677966101695,162.75039268423868,341.43389830508477,43.925261298313195,44.053935359848296,nan,nan,1.7686494515744915,0.008729344031763253,1.0,1.4418336153030396,nan,nan,nan,nan,63.80919575691223,68.90480923652649,0.0,132.71401000022888
4,4,trpo,trpo_paper,trpo_paper,ALE/Qbert-v5,atari,0,1,1.0,402895,100753,285,285,4,1,254.12280701754386,181.61826847746408,353.51929824561404,254.12280701754386,181.61826847746408,353.51929824561404,51.97022483201493,52.061278882514664,nan,nan,1.7337702035314706,0.008642811994517611,1.0,0.9662704467773438,nan,nan,nan,nan,64.07895040512085,68.98846340179443,0.0,133.06741881370544
5,5,trpo,trpo_paper,trpo_paper,ALE/Qbert-v5,atari,0,1,1.0,503522,100627,284,284,4,1,262.8521126760563,161.07134484240026,354.32042253521126,262.8521126760563,161.07134484240026,354.32042253521126,53.20569063223588,53.262593616151726,nan,nan,1.691698970307733,0.006194850801525667,1.0,0.7284368872642517,nan,nan,nan,nan,63.78904938697815,69.01522660255432,0.0,132.80428171157837
6,6,trpo,trpo_paper,trpo_paper,ALE/Qbert-v5,atari,0,1,1.0,604095,100573,287,287,4,1,264.6341463414634,158.94947573839835,350.42857142857144,264.6341463414634,158.94947573839835,350.42857142857144,53.34159181949927,53.39749275712666,nan,nan,1.6990586396005576,0.00732120817032997,1.0,0.6802073121070862,nan,nan,nan,nan,64.35132050514221,74.67386293411255,0.0,139.02518963813782
7,7,trpo,trpo_paper,trpo_paper,ALE/Qbert-v5,atari,0,1,1.0,705194,101099,287,287,4,1,280.4878048780488,140.2707897268071,352.26132404181186,280.4878048780488,140.2707897268071,352.26132404181186,55.95210140555297,56.05280900404554,nan,nan,1.6588923569811522,0.008053130598189184,1.0,1.0943872928619385,nan,nan,nan,nan,64.31841135025024,69.38261818885803,0.0,133.70103406906128
8,8,trpo,trpo_paper,trpo_paper,ALE/Qbert-v5,atari,0,1,1.0,805830,100636,289,289,4,1,275.51903114186854,139.8828247324048,348.2214532871972,275.51903114186854,139.8828247324048,348.2214532871972,56.18242928102269,56.28900815811439,nan,nan,1.6339419888144215,0.007135400219806632,1.0,0.8503606915473938,nan,nan,nan,nan,63.968313694000244,74.64096093177795,0.0,138.60927963256836
9,9,trpo,trpo_paper,trpo_paper,ALE/Qbert-v5,atari,0,1,1.0,906372,100542,289,289,4,1,289.96539792387546,136.76818027186096,347.8961937716263,289.96539792387546,136.76818027186096,347.8961937716263,58.93392904209186,59.027478721579044,nan,nan,1.5734682061313618,0.009740750970717334,1.0,1.2023899555206299,nan,nan,nan,nan,63.766008615493774,69.03168392181396,0.0,132.79769778251648
10,10,trpo,trpo_paper,trpo_paper,ALE/Qbert-v5,atari,0,1,1.0,1007496,101124,289,289,4,1,294.7231833910035,119.25486438935505,349.9100346020761,294.7231833910035,119.25486438935505,349.9100346020761,58.59199720145564,58.70302518442704,nan,nan,1.5469027158179562,0.005089723631031722,1.0,1.5287221670150757,nan,nan,nan,nan,64.28480887413025,69.47441291809082,0.0,133.75922656059265
