iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,100000,100000,207,207,4,1,59.130434782608695,55.02057051689123,478.3864734299517,59.130434782608695,55.02057051689123,478.3864734299517,2.2358894348144532e-08,-0.0024535628080368044,244.58158279296876,117.63058033569335,2.8803609272766115,0.002658043882101774,nan,nan,0.0561899999833107,nan,9.655952453613281e-06,0.11513090133666992,89.49588465690613,84.10916996002197,0.0,173.60532569885254
2,2,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,200000,100000,174,174,4,1,101.37931034482759,70.87584115405257,564.9597701149426,101.37931034482759,70.87584115405257,564.9597701149426,-1.2540817260742188e-08,-0.0035553131866455077,171.99595274414062,131.97473818359376,2.873123924636841,0.0031908402199298143,nan,nan,0.015790000003278255,nan,0.10135948657989502,0.1934300661087036,89.91619181632996,82.25885033607483,0.0,172.17510056495667
3,3,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,300000,100000,152,152,4,1,145.0,82.50199359632724,642.0723684210526,145.0,82.50199359632724,642.0723684210526,6.089210510253906e-09,-0.0029480429673194885,163.264043203125,151.7907160986328,2.864703608856201,0.0016770774246007204,nan,nan,0.027410000006556513,nan,0.18314164876937866,0.2027091383934021,88.35294127464294,82.77423405647278,0.0,171.1272144317627
4,4,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,400000,100000,133,133,4,1,191.12781954887217,107.39327022318761,744.1278195488721,191.12781954887217,107.39327022318761,744.1278195488721,-2.9087066650390624e-10,-0.0027305484127998353,156.09793435058594,136.05499837402343,2.8565450983428957,0.0017317707777395844,nan,nan,0.04526999998688698,nan,0.1756293773651123,0.20194321870803833,88.35157704353333,82.49377965927124,0.0,170.84539008140564
5,5,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,500000,100000,122,122,4,1,235.9016393442623,96.83308351429443,809.1147540983607,235.9016393442623,96.83308351429443,809.1147540983607,-5.350112915039063e-09,-0.0021444768857955933,136.38823782714843,127.43446269042968,2.848517782211304,0.001345647077076137,nan,nan,0.030889999994039536,nan,0.1881500482559204,0.21400582790374756,90.08886528015137,82.4704384803772,0.0,172.559339761734
6,6,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,600000,100000,120,120,4,1,236.5,116.75223052830012,818.525,236.5,116.75223052830012,818.525,-7.719993591308594e-09,-0.0016494470274448394,116.10839155517579,112.59849935791016,2.8399207999420164,0.0015387443696334958,nan,nan,0.04971999997854233,nan,0.2326946258544922,0.25261735916137695,90.12022733688354,82.28398323059082,0.0,172.4042465686798
7,7,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,700000,100000,104,104,4,1,289.4230769230769,95.23076146389927,941.4903846153846,289.4230769230769,95.23076146389927,941.4903846153846,3.969669342041016e-09,-0.0008461888253688812,109.91539064208985,105.1692059399414,2.8419904404449463,0.0006273318098671734,nan,nan,0.0042500000014901165,nan,0.25798243284225464,0.2735501527786255,89.61724042892456,83.72149062156677,0.0,173.33876657485962
8,8,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,800000,100000,103,103,4,1,288.93203883495147,104.49055906960258,939.0097087378641,288.93203883495147,104.49055906960258,939.0097087378641,-1.2179017066955567e-08,-0.0020994051563739775,108.64169881103516,108.4530437915039,2.82416822807312,0.001973601860590279,nan,nan,0.016879999995827673,nan,0.23006242513656616,0.24320447444915771,89.69037866592407,81.71190428733826,0.0,171.4023413658142
9,9,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,900000,100000,91,91,4,1,335.8241758241758,116.90200586803071,1064.8021978021977,335.8241758241758,116.90200586803071,1064.8021978021977,-5.029439926147461e-09,-0.001568097585439682,106.42806183837891,99.32517251220703,2.807539022369385,0.0018567110788449644,nan,nan,0.057800000038146976,nan,0.25416141748428345,0.27286893129348755,87.04673337936401,83.75944447517395,0.0,170.80621600151062
10,10,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,1000000,100000,82,82,4,1,381.4634146341463,107.51201806014369,1172.8658536585365,381.4634146341463,107.51201806014369,1172.8658536585365,2.5784969329833984e-09,-0.0015257631409168243,100.29828186523437,93.14275855346679,2.801710165863037,0.0014090421259775757,nan,nan,0.03387000001490116,nan,0.2542573809623718,0.27147406339645386,88.92310619354248,82.56825113296509,0.0,171.4914059638977
11,11,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,1100000,100000,85,85,4,1,369.6470588235294,118.3260406804613,1152.3294117647058,369.6470588235294,118.3260406804613,1152.3294117647058,-1.7404556274414063e-09,-0.0009038955134153367,92.41473083740235,90.54607986572266,2.8062027069854736,0.0007743097368441523,nan,nan,0.009590000001043082,nan,0.28410279750823975,0.2995431423187256,89.450040102005,83.07153916358948,0.0,172.52161264419556
12,12,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,1200000,100000,86,86,4,1,368.83720930232556,117.75436203495188,1142.7441860465117,368.83720930232556,117.75436203495188,1142.7441860465117,3.9196014404296874e-09,-0.0016031891918182374,90.89378331298828,88.61422702636719,2.782228295211792,0.0018989517157524823,nan,nan,0.07107000002145768,nan,0.3041151165962219,0.3200821876525879,90.68969798088074,81.58974075317383,0.0,172.27948713302612
13,13,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,1300000,100000,74,74,4,1,432.43243243243245,118.49062924302326,1314.1486486486488,432.43243243243245,118.49062924302326,1314.1486486486488,8.535385131835937e-10,-0.0010371674990653991,82.34202281982422,81.33486690063476,2.7793548530578613,0.0005918022678792476,nan,nan,0.00133,nan,0.315589964389801,0.3263154625892639,90.25016236305237,82.95829033851624,0.0,173.208487033844
14,14,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,1400000,100000,74,74,4,1,431.6216216216216,115.2204353476182,1318.445945945946,431.6216216216216,115.2204353476182,1318.445945945946,3.885030746459961e-09,-0.0006338567793369293,77.72063951416015,76.58651300292969,2.793717773284912,0.001217748854458332,nan,nan,0.030409999991655348,nan,0.32482123374938965,0.3339260220527649,88.66625452041626,81.5732307434082,0.0,170.239520072937
15,15,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,1500000,100000,80,80,4,1,395.25,124.26760438666226,1210.7375,395.25,124.26760438666226,1210.7375,-7.064342498779297e-09,-0.0015729250645637512,81.60293298950195,80.08158909057617,2.774604591064453,0.0011397382525354623,nan,nan,0.03221999999165535,nan,0.3125060200691223,0.32594966888427734,89.31257557868958,82.52406811714172,0.0,171.83667707443237
16,16,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,1600000,100000,76,76,4,1,431.3157894736842,135.11537083138634,1295.3552631578948,431.3157894736842,135.11537083138634,1295.3552631578948,-1.051187515258789e-08,-0.0010065593814849853,81.09755239257812,78.87724405273437,2.7859075504302977,0.0008233415579609573,nan,nan,0.016370000012516976,nan,0.32514238357543945,0.33751189708709717,88.0504379272461,81.53996253013611,0.0,169.5904357433319
17,17,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,1700000,100000,74,74,4,1,423.5135135135135,124.8288821442576,1308.9054054054054,423.5135135135135,124.8288821442576,1308.9054054054054,8.153915405273438e-09,-0.0011876795196533202,80.38942649658203,78.44969616699218,2.774416708984375,0.0008476978808641434,nan,nan,0.02925999999165535,nan,0.32191067934036255,0.33419573307037354,88.97352766990662,81.90474057197571,0.0,170.8783049583435
18,18,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,1800000,100000,73,73,4,1,440.0,128.21215295120646,1327.5068493150684,440.0,128.21215295120646,1327.5068493150684,6.980150938034058e-09,-0.0011294640555977822,78.11917543701172,76.73076787109375,2.78164714302063,0.0008915905083157122,nan,nan,0.022059999999403952,nan,0.32057321071624756,0.33067846298217773,88.48725533485413,81.39939546585083,0.0,169.88668513298035
19,19,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,1900000,100000,71,71,4,1,454.6478873239437,128.91563991171304,1362.056338028169,454.6478873239437,128.91563991171304,1362.056338028169,-5.012750625610352e-10,-0.0014038878512382508,76.28943271484376,75.29578732177734,2.7713205075073244,0.0008402200036123395,nan,nan,0.024600000006556513,nan,0.3364824652671814,0.3451118469238281,88.25857162475586,82.2833034992218,0.0,170.54191040992737
20,20,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,2000000,100000,71,71,4,1,451.83098591549293,122.5815033166342,1375.4084507042253,451.83098591549293,122.5815033166342,1375.4084507042253,3.5059452056884764e-09,-0.0012058551451563835,70.76319993652343,70.19211982177734,2.762893148574829,0.0009146419602818788,nan,nan,0.0266800000166893,nan,0.3618461489677429,0.37065041065216064,89.00521159172058,81.27771472930908,0.0,170.28296375274658
21,21,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,2100000,100000,67,67,4,1,481.4925373134328,119.61697243101432,1441.4328358208954,481.4925373134328,119.61697243101432,1441.4328358208954,-7.276535034179687e-09,-0.001487744414806366,70.19232093383789,67.69383799438477,2.7543853438568116,0.0009354366304911673,nan,nan,0.031760000007748604,nan,0.37557274103164673,0.38470762968063354,89.19249105453491,82.82135152816772,0.0,172.01387476921082
22,22,ppo,clip,gae,ALE/Seaquest-v5,atari,0,1,1.0,2200000,100000,67,67,4,1,479.1044776119403,124.99231431039034,1427.641791044776,479.1044776119403,124.99231431039034,1427.641791044776,5.345344543457031e-09,-0.001359749472141266,73.09062014648437,71.94700720458984,2.7463753026580813,0.0009785691372677684,nan,nan,0.030100000007152558,nan,0.38388919830322266,0.3954426050186157,89.51671481132507,81.5897843837738,0.0,171.10653734207153
