iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,trpo,trpo_paper,trpo_paper,ALE/Seaquest-v5,atari,0,1,1.0,101540,101540,203,203,4,1,70.44334975369458,56.01988117013544,500.1970443349754,70.44334975369458,56.01988117013544,500.1970443349754,12.608368430852373,12.656303627265117,nan,nan,2.8813714211302197,0.003554739819722929,1.0,0.8966184854507446,nan,nan,nan,nan,69.05854296684265,70.48828029632568,0.0,139.54684281349182
2,2,trpo,trpo_paper,trpo_paper,ALE/Seaquest-v5,atari,0,1,1.0,202188,100648,172,172,4,1,110.81395348837209,83.73150772974002,585.1627906976744,110.81395348837209,83.73150772974002,585.1627906976744,17.301221754903228,17.36645614542763,nan,nan,2.8790374457499777,0.009417593382848517,1.0,0.7827266454696655,nan,nan,nan,nan,66.8717851638794,68.18615913391113,0.0,135.05795073509216
3,3,trpo,trpo_paper,trpo_paper,ALE/Seaquest-v5,atari,0,1,1.0,304434,102246,131,131,4,1,206.25954198473283,100.1093743683949,780.5038167938932,206.25954198473283,100.1093743683949,780.5038167938932,24.571906694393913,24.628058493730805,nan,nan,2.863473743013174,0.007658279674038834,1.0,0.6620559692382812,nan,nan,nan,nan,67.2858681678772,74.9679262638092,0.0,142.25380039215088
4,4,trpo,trpo_paper,trpo_paper,ALE/Seaquest-v5,atari,0,1,1.0,406764,102330,113,113,4,1,269.7345132743363,112.89011163254786,905.5752212389381,269.7345132743363,112.89011163254786,905.5752212389381,27.824455117634123,27.8782670038112,nan,nan,2.8319203381523015,0.007165624091473959,1.0,0.5652686953544617,nan,nan,nan,nan,66.89845132827759,75.02870726585388,0.0,141.92716455459595
5,5,trpo,trpo_paper,trpo_paper,ALE/Seaquest-v5,atari,0,1,1.0,508296,101532,99,99,4,1,312.1212121212121,134.83452430288506,1025.5757575757575,312.1212121212121,134.83452430288506,1025.5757575757575,28.63735086290529,28.685185150986882,nan,nan,2.795886376185587,0.006692164609666531,1.0,0.5166400074958801,nan,nan,nan,nan,66.24783658981323,68.82961821556091,0.0,135.07746028900146
6,6,trpo,trpo_paper,trpo_paper,ALE/Seaquest-v5,atari,0,1,1.0,609513,101217,108,108,4,1,283.7037037037037,117.6356001843278,937.1944444444445,283.7037037037037,117.6356001843278,937.1944444444445,28.360022741980103,28.406847031007636,nan,nan,2.8094719393882697,0.008717540869610971,1.0,0.4718793034553528,nan,nan,nan,nan,66.49272274971008,68.5583119392395,0.0,135.0510401725769
7,7,trpo,trpo_paper,trpo_paper,ALE/Seaquest-v5,atari,0,1,1.0,713094,103581,93,93,4,1,346.8817204301075,125.14059615345563,1113.774193548387,346.8817204301075,125.14059615345563,1113.774193548387,29.373941951226577,29.432592005290545,nan,nan,2.7819632382356563,0.007670643085158548,1.0,0.5786609649658203,nan,nan,nan,nan,68.60881853103638,70.04898309707642,0.0,138.65780591964722
8,8,trpo,trpo_paper,trpo_paper,ALE/Seaquest-v5,atari,0,1,1.0,817234,104140,95,95,4,1,343.1578947368421,130.14375175890564,1096.2105263157894,343.1578947368421,130.14375175890564,1096.2105263157894,29.51766282168235,29.57783887675245,nan,nan,2.785597334792707,0.006207960421322849,1.0,0.7154210805892944,nan,nan,nan,nan,68.28997993469238,70.57345771789551,0.0,138.86344265937805
9,9,trpo,trpo_paper,trpo_paper,ALE/Seaquest-v5,atari,0,1,1.0,918707,101473,99,99,4,1,320.0,120.43691504289914,1024.979797979798,320.0,120.43691504289914,1024.979797979798,29.299511631172823,29.35761421757512,nan,nan,2.7887235955777645,0.009781919922795122,1.0,0.5187052488327026,nan,nan,nan,nan,66.28614687919617,68.74215245246887,0.0,135.02830457687378
10,10,trpo,trpo_paper,trpo_paper,ALE/Seaquest-v5,atari,0,1,1.0,1021301,102594,95,95,4,1,336.42105263157896,128.3081470890227,1079.9368421052632,336.42105263157896,128.3081470890227,1079.9368421052632,29.374175755892157,29.420814387293603,nan,nan,2.7687359427695575,0.007564949554696199,1.0,0.5141993761062622,nan,nan,nan,nan,67.14371848106384,69.61204123497009,0.0,136.75576496124268
