iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,ppo,clip,gae,ALE/SpaceInvaders-v5,atari,0,1,1.0,100000,100000,197,197,4,1,146.7766497461929,93.16837475104103,503.97969543147207,146.7766497461929,93.16837475104103,503.97969543147207,-1.600503921508789e-08,-0.0006212594985961914,1186.3954503515624,514.6979488232422,1.7866644240188598,0.0009676388724148274,nan,nan,0.0,nan,5.543231964111328e-06,0.048101723194122314,82.02229881286621,77.83152079582214,0.0,159.85400295257568
2,2,ppo,clip,gae,ALE/SpaceInvaders-v5,atari,0,1,1.0,200000,100000,198,198,4,1,148.78787878787878,107.0414601755346,501.85353535353534,148.78787878787878,107.0414601755346,501.85353535353534,2.5272369384765625e-09,-0.0006022755646705628,588.561913125,543.087733125,1.784689306564331,0.0008009660793282091,nan,nan,0.0,nan,0.008886575698852539,0.08525669574737549,80.66003036499023,75.83903336524963,0.0,156.4990997314453
3,3,ppo,clip,gae,ALE/SpaceInvaders-v5,atari,0,1,1.0,300000,100000,208,208,4,1,138.5096153846154,91.92879719488461,475.10096153846155,138.5096153846154,91.92879719488461,475.10096153846155,2.899169921875e-09,-0.001108683910369873,434.6843213623047,412.5582175732422,1.7797805785369873,0.0019545678270608186,nan,nan,0.0318100000333786,nan,0.02045607566833496,0.0706028938293457,79.38659119606018,75.3060553073883,0.0,154.69267678260803
4,4,ppo,clip,gae,ALE/SpaceInvaders-v5,atari,0,1,1.0,400000,100000,199,199,4,1,166.60804020100502,114.81436682675007,495.5427135678392,166.60804020100502,114.81436682675007,495.5427135678392,8.561611175537109e-09,-0.001049439218044281,675.1104424609375,637.2864690429687,1.7752726609802245,0.0015122593378648162,nan,nan,0.02034000001311302,nan,0.05782037973403931,0.09056061506271362,79.43027782440186,75.37924075126648,0.0,154.80954694747925
5,5,ppo,clip,gae,ALE/SpaceInvaders-v5,atari,0,1,1.0,500000,100000,195,195,4,1,169.4102564102564,114.99737297974224,505.14871794871794,169.4102564102564,114.99737297974224,505.14871794871794,6.241798400878906e-09,-0.001226501922607422,575.6849428173828,565.1884181982422,1.7745189854049683,0.0011954291677474976,nan,nan,0.007160000004172325,nan,0.0666002631187439,0.08418232202529907,79.50286531448364,75.53649473190308,0.0,155.03938961029053
6,6,ppo,clip,gae,ALE/SpaceInvaders-v5,atari,0,1,1.0,600000,100000,208,208,4,1,153.41346153846155,111.66950814594023,474.42788461538464,153.41346153846155,111.66950814594023,474.42788461538464,2.651214599609375e-09,-0.0014864374113082886,575.0880419726562,561.5352394921875,1.766018218307495,0.0015716566655039788,nan,nan,0.03502000000119209,nan,0.0825539231300354,0.10619384050369263,79.59417057037354,75.44430232048035,0.0,155.038503408432
7,7,ppo,clip,gae,ALE/SpaceInvaders-v5,atari,0,1,1.0,700000,100000,210,210,4,1,155.45238095238096,100.62263363226471,472.7142857142857,155.45238095238096,100.62263363226471,472.7142857142857,5.197525024414063e-10,-0.001272971601486206,528.9456225488282,508.3314426269531,1.7594717916107179,0.0012672539503127338,nan,nan,0.04170999999284744,nan,0.0748329758644104,0.10889160633087158,80.0987594127655,75.50875616073608,0.0,155.60755825042725
8,8,ppo,clip,gae,ALE/SpaceInvaders-v5,atari,0,1,1.0,800000,100000,206,206,4,1,161.77184466019418,92.70551236475004,481.84466019417476,161.77184466019418,92.70551236475004,481.84466019417476,-4.106760025024414e-10,-0.0012860878844559193,449.1168348828125,423.88241202148436,1.7595352266311646,0.0009209863114356994,nan,nan,0.009380000002086162,nan,0.09759563207626343,0.1477738618850708,80.11522221565247,75.2917640209198,0.0,155.40702867507935
9,9,ppo,clip,gae,ALE/SpaceInvaders-v5,atari,0,1,1.0,900000,100000,206,206,4,1,167.9368932038835,115.31295912343992,479.6601941747573,167.9368932038835,115.31295912343992,479.6601941747573,1.931190490722656e-09,-0.0015547915601730347,579.8879219873047,554.9082401171875,1.7553208686447144,0.000902790260091424,nan,nan,0.02086999999523163,nan,0.07989323139190674,0.1160057783126831,79.31991863250732,75.4038519859314,0.0,154.72381567955017
10,10,ppo,clip,gae,ALE/SpaceInvaders-v5,atari,0,1,1.0,1000000,100000,211,211,4,1,167.10900473933648,96.25539913190653,470.4265402843602,167.10900473933648,96.25539913190653,470.4265402843602,5.47170639038086e-09,-0.0015046545958518982,477.9333868457031,458.83342956054685,1.751876161956787,0.0009556626760587096,nan,nan,0.015470000006556512,nan,0.12428569793701172,0.15768194198608398,79.42969989776611,75.83762788772583,0.0,155.2673580646515
