iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,100776,100776,206,206,4,1,146.1893203883495,99.26143808060303,489.20388349514565,146.1893203883495,99.26143808060303,489.20388349514565,26.11907682322676,26.142377571916924,nan,nan,1.7866928901257493,0.004485698659843899,1.0,0.43270349502563477,nan,nan,nan,nan,65.37726902961731,69.88744854927063,0.0,135.26474595069885
2,2,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,202018,101242,190,190,4,1,158.47368421052633,115.66870496153756,532.8526315789474,158.47368421052633,115.66870496153756,532.8526315789474,26.32446124601203,26.35461605917011,nan,nan,1.78868856999195,0.0053074235073006055,1.0,0.4587174654006958,nan,nan,nan,nan,66.28570055961609,68.82245182991028,0.0,135.10816192626953
3,3,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,303222,101204,208,208,4,1,137.35576923076923,84.73362313623146,486.5576923076923,137.35576923076923,84.73362313623146,486.5576923076923,24.33338371630568,24.356799678742934,nan,nan,1.782664483293027,0.006330870988820622,1.0,0.32454580068588257,nan,nan,nan,nan,64.42685055732727,69.07168102264404,0.0,133.49853658676147
4,4,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,403950,100728,202,202,4,1,147.7970297029703,104.29263565834107,498.65346534653463,147.7970297029703,104.29263565834107,498.65346534653463,25.62917724589985,25.642734060104935,nan,nan,1.7666532855654584,0.004539714085880365,1.0,0.2482423484325409,nan,nan,nan,nan,64.31037521362305,69.01756381988525,0.0,133.32794404029846
5,5,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,505203,101253,194,194,4,1,157.96391752577318,101.43228779502809,521.9226804123712,157.96391752577318,101.43228779502809,521.9226804123712,26.525403799763957,26.554608335678942,nan,nan,1.7713008638478613,0.005716253729641821,1.0,0.45957615971565247,nan,nan,nan,nan,64.36695265769958,69.4032073020935,0.0,133.77016472816467
6,6,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,606365,101162,201,201,4,1,145.09950248756218,100.4429991059816,503.29353233830847,145.09950248756218,100.4429991059816,503.29353233830847,25.20365586262628,25.231356597277138,nan,nan,1.783179280973834,0.005782985698237073,1.0,0.39874064922332764,nan,nan,nan,nan,64.4031343460083,69.3185818195343,0.0,133.7217206954956
7,7,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,707842,101477,188,188,4,1,167.5531914893617,109.91714645840783,539.7712765957447,167.5531914893617,109.91714645840783,539.7712765957447,27.33432914601338,27.388025426944036,nan,nan,1.7776925340070904,0.006138288467918628,1.0,0.7019822001457214,nan,nan,nan,nan,64.49360871315002,69.63678026199341,0.0,134.13039445877075
8,8,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,809654,101812,183,183,4,1,172.78688524590163,104.69128931057932,556.3497267759562,172.78688524590163,104.69128931057932,556.3497267759562,27.4795196968432,27.509722883844734,nan,nan,1.7722065336263162,0.005258033182566392,1.0,0.5006974935531616,nan,nan,nan,nan,64.72501850128174,70.0051441192627,0.0,134.73016738891602
9,9,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,910479,100825,182,182,4,1,173.87362637362637,110.23187582223653,553.9835164835165,173.87362637362637,110.23187582223653,553.9835164835165,27.617635600049592,27.660727281180264,nan,nan,1.7603022912534094,0.008094109428296928,1.0,0.5686080455780029,nan,nan,nan,nan,64.17900013923645,69.20210123062134,0.0,133.38110637664795
10,10,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,1011974,101495,175,175,4,1,187.54285714285714,92.08671157653308,579.9714285714285,187.54285714285714,92.08671157653308,579.9714285714285,28.47153754495295,28.505314609094043,nan,nan,1.7418733344699862,0.0047513314578134375,1.0,0.568313479423523,nan,nan,nan,nan,64.52173018455505,69.60626244544983,0.0,134.12799739837646
11,11,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,1113168,101194,170,170,4,1,204.85294117647058,117.22580832908896,595.2588235294118,204.85294117647058,117.22580832908896,595.2588235294118,30.562005822356067,30.618772327163665,nan,nan,1.7363873639756928,0.007591917587214361,1.0,0.8261470794677734,nan,nan,nan,nan,63.73755145072937,69.26441240310669,0.0,133.00196886062622
12,12,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,1214835,101667,171,171,4,1,197.30994152046785,100.40015182240259,594.5438596491229,197.30994152046785,100.40015182240259,594.5438596491229,29.136178421341242,29.19284642201993,nan,nan,1.7071057022405254,0.0062890603396702,1.0,0.7617074847221375,nan,nan,nan,nan,64.13299918174744,69.67291951179504,0.0,133.80592346191406
13,13,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,1315962,101127,169,169,4,1,206.98224852071007,106.3226346713853,598.3846153846154,206.98224852071007,106.3226346713853,598.3846153846154,30.692498201518884,30.73878050619518,nan,nan,1.701753107710478,0.006050516017064907,1.0,0.6664395928382874,nan,nan,nan,nan,64.02366375923157,69.36046028137207,0.0,133.38412833213806
14,14,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,1416782,100820,170,170,4,1,218.41176470588235,119.80305349321267,593.0588235294117,218.41176470588235,119.80305349321267,593.0588235294117,32.87064012596707,32.906784368180915,nan,nan,1.700059739627244,0.0040702314625045794,1.0,0.6567241549491882,nan,nan,nan,nan,63.844183921813965,69.21413993835449,0.0,133.05832815170288
15,15,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,1518031,101249,168,168,4,1,211.78571428571428,100.71808503472067,602.672619047619,211.78571428571428,100.71808503472067,602.672619047619,31.158928190031506,31.211572305652403,nan,nan,1.7008251364288165,0.004610112839201063,1.0,0.9171479940414429,nan,nan,nan,nan,64.13906598091125,69.4602599143982,0.0,133.59933161735535
16,16,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,1619240,101209,164,164,4,1,210.33536585365854,96.22624999593813,617.1280487804878,210.33536585365854,96.22624999593813,617.1280487804878,30.096088987268917,30.151557899371596,nan,nan,1.6749799127764082,0.006093287458746288,1.0,0.836199164390564,nan,nan,nan,nan,64.10270547866821,69.39631199836731,0.0,133.49902176856995
17,17,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,1720253,101013,164,164,4,1,216.15853658536585,101.97829390182359,615.9329268292682,216.15853658536585,101.97829390182359,615.9329268292682,31.074800783686257,31.140479907289162,nan,nan,1.6540268370469642,0.007250115879226468,1.0,0.853732705116272,nan,nan,nan,nan,63.807701587677,69.21732592582703,0.0,133.0250325202942
18,18,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,1820846,100593,156,156,4,1,239.10256410256412,107.9759695183395,644.8269230769231,239.10256410256412,107.9759695183395,644.8269230769231,32.96130528000209,33.04021620540197,nan,nan,1.6213058176342414,0.00693961825262995,1.0,0.9664574265480042,nan,nan,nan,nan,63.46174645423889,68.96150374412537,0.0,132.4232542514801
19,19,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,1922286,101440,164,164,4,1,214.78658536585365,114.63535854963638,618.5365853658536,214.78658536585365,114.63535854963638,618.5365853658536,30.52680941319992,30.597740351439274,nan,nan,1.6353225467332906,0.006698604599699049,1.0,1.001282811164856,nan,nan,nan,nan,64.14072704315186,69.61285185813904,0.0,133.7535834312439
20,20,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,2022668,100382,159,159,4,1,236.79245283018867,122.76464548897592,631.3333333333334,236.79245283018867,122.76464548897592,631.3333333333334,33.26491637880795,33.31141679409655,nan,nan,1.6114487360431589,0.003351807213849842,1.0,1.164232850074768,nan,nan,nan,nan,63.216341495513916,68.90391755104065,0.0,132.12026381492615
21,21,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,2124746,102078,161,161,4,1,225.59006211180125,109.75039280619525,634.0248447204968,225.59006211180125,109.75039280619525,634.0248447204968,31.441079523746545,31.49178829547013,nan,nan,1.5907802418478394,0.006099494298514471,1.0,0.8166883587837219,nan,nan,nan,nan,64.2300820350647,69.94415664672852,0.0,134.17424416542053
22,22,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,2225808,101062,166,166,4,1,206.05421686746988,91.73989265256841,608.8072289156627,206.05421686746988,91.73989265256841,608.8072289156627,29.68620801772674,29.731879471265163,nan,nan,1.554811389372984,0.004208550224362413,1.0,0.880596935749054,nan,nan,nan,nan,64.04331421852112,69.32973170280457,0.0,133.37305092811584
23,23,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,2327330,101522,162,162,4,1,217.87037037037038,102.981488141621,626.679012345679,217.87037037037038,102.981488141621,626.679012345679,30.601271922588207,30.65388028580012,nan,nan,1.5561317297605446,0.005250486813372457,1.0,0.874150812625885,nan,nan,nan,nan,64.25227117538452,69.60934019088745,0.0,133.86161613464355
24,24,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,2428717,101387,154,154,4,1,238.53896103896105,110.25785204049143,658.3571428571429,238.53896103896105,110.25785204049143,658.3571428571429,32.23661232764062,32.312572201687594,nan,nan,1.5164264522171236,0.006488449859933788,1.0,1.043973684310913,nan,nan,nan,nan,63.66732621192932,69.51335024833679,0.0,133.18068170547485
25,25,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,2529700,100983,157,157,4,1,231.40127388535032,101.06886470318122,643.203821656051,231.40127388535032,101.06886470318122,643.203821656051,31.922336634012655,31.992942654951822,nan,nan,1.5463206736375181,0.008203837178745572,1.0,0.8864824175834656,nan,nan,nan,nan,64.13542199134827,69.31935048103333,0.01067209243774414,133.46545147895813
26,26,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,2631349,101649,154,154,4,1,242.66233766233765,104.73089949399389,660.0584415584416,242.66233766233765,104.73089949399389,660.0584415584416,32.64552705572608,32.75224255157453,nan,nan,1.5002205189165043,0.007998099665763784,1.0,1.307800531387329,nan,nan,nan,nan,64.01803851127625,69.75219488143921,0.0,133.77023816108704
27,27,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,2732675,101326,148,148,4,1,249.45945945945945,96.33509775345264,684.6351351351351,249.45945945945945,96.33509775345264,684.6351351351351,32.40465227952352,32.48859783335472,nan,nan,1.4704008345433304,0.0053582270934581025,1.0,1.2433569431304932,nan,nan,nan,nan,63.87864112854004,69.64902257919312,0.0,133.52766823768616
28,28,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,2833485,100810,150,150,4,1,256.46666666666664,117.2227888348602,672.0666666666667,256.46666666666664,117.2227888348602,672.0666666666667,34.20851811266243,34.27798596989386,nan,nan,1.4832822061225945,0.007185399377759771,1.0,1.2239608764648438,nan,nan,nan,nan,63.3479483127594,69.12782454490662,0.0,132.47577738761902
29,29,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,2934579,101094,145,145,4,1,252.06896551724137,100.01997422393904,697.2,252.06896551724137,100.01997422393904,697.2,32.101534988476075,32.179969029442894,nan,nan,1.4612715988646705,0.008454626010472215,1.0,0.8822910189628601,nan,nan,nan,nan,63.68057131767273,69.32524132728577,0.0,133.00581741333008
30,30,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,3036015,101436,147,147,4,1,249.04761904761904,107.69908528173089,690.0408163265306,249.04761904761904,107.69908528173089,690.0408163265306,32.13093523872195,32.20971644066209,nan,nan,1.43435284933357,0.007210952389315155,1.0,1.0681086778640747,nan,nan,nan,nan,63.737234115600586,69.5740008354187,0.0,133.3112428188324
31,31,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,3137923,101908,151,151,4,1,250.2317880794702,131.03426798692394,674.8874172185431,250.2317880794702,131.03426798692394,674.8874172185431,33.147260273972606,33.21205646269184,nan,nan,1.4175908193158904,0.00679496398252139,1.0,0.9623953700065613,nan,nan,nan,nan,63.97514581680298,69.84127712249756,0.0,133.8164279460907
32,32,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,3238680,100757,156,156,4,1,239.2948717948718,138.22182181183825,645.8782051282051,239.2948717948718,138.22182181183825,645.8782051282051,33.00035473651955,33.09328624500035,nan,nan,1.4024977284262818,0.007211524011025377,1.0,1.3097307682037354,nan,nan,nan,nan,63.79169583320618,69.17088222503662,0.0,132.9625825881958
33,33,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,3339964,101284,147,147,4,1,265.1700680272109,136.02397618535596,689.0068027210884,265.1700680272109,136.02397618535596,689.0068027210884,34.71986598327475,34.80650741355989,nan,nan,1.3672258117875848,0.005653596218663017,1.0,1.323230504989624,nan,nan,nan,nan,63.89853763580322,69.45499181747437,0.0,133.3535339832306
34,34,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,3441442,101478,146,146,4,1,264.8972602739726,141.25352362932182,695.054794520548,264.8972602739726,141.25352362932182,695.054794520548,34.29764348553381,34.39295132011372,nan,nan,1.3351010348302095,0.006360614522222216,1.0,1.3107824325561523,nan,nan,nan,nan,64.41915249824524,69.69338607788086,0.0,134.11254286766052
35,35,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,3542980,101538,143,143,4,1,273.1468531468532,119.27033160256924,710.0559440559441,273.1468531468532,119.27033160256924,710.0559440559441,34.6249838422561,34.72215743736335,nan,nan,1.3242431308814189,0.005423333449132359,1.0,1.450477123260498,nan,nan,nan,nan,64.24185800552368,69.72622156143188,0.0,133.96808338165283
36,36,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,3644482,101502,140,140,4,1,281.64285714285717,121.20148934896865,725.0142857142857,281.64285714285717,121.20148934896865,725.0142857142857,34.95869739635672,35.06083716330713,nan,nan,1.3034402618375132,0.007925646632501065,1.0,1.253633737564087,nan,nan,nan,nan,63.92290163040161,69.66872596740723,0.0,133.59163188934326
37,37,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,3746171,101689,142,142,4,1,297.88732394366195,139.85193873842098,716.1197183098592,297.88732394366195,139.85193873842098,716.1197183098592,37.6060531375075,37.727476976369125,nan,nan,1.2463992444948568,0.006149060374853228,1.0,1.3988052606582642,nan,nan,nan,nan,64.6368556022644,69.79015278816223,0.0,134.42701292037964
38,38,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,3847411,101240,142,142,4,1,285.66901408450707,141.9584209028304,712.9577464788732,285.66901408450707,141.9584209028304,712.9577464788732,36.1375803320081,36.248102281706835,nan,nan,1.281518132674369,0.005094873604995019,1.0,1.6848530769348145,nan,nan,nan,nan,64.1838891506195,69.53260636329651,0.0,133.7165002822876
39,39,trpo,trpo_paper,trpo_paper,ALE/SpaceInvaders-v5,atari,0,1,1.0,3948461,101050,144,144,4,1,288.09027777777777,147.51411953109422,701.7361111111111,288.09027777777777,147.51411953109422,701.7361111111111,36.81750293790203,36.9191611516576,nan,nan,1.2929129636859846,0.006684546825622993,1.0,1.3871351480484009,nan,nan,nan,nan,63.85426664352417,69.33336448669434,0.0,133.18763542175293
