iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,100000,100000,96,96,12,1,8.130588074857613,6.986342682354392,1000.0,8.130588074857613,6.986342682354392,1000.0,1.978754997253418e-08,-0.007449482816457748,16.704011977996828,9.832180839691162,1.844992639656067,0.007907774507254363,nan,nan,0.10757000007867813,nan,-0.03393220901489258,0.36172717809677124,8.655069351196289,4.377720355987549,0.0,13.032943725585938
2,2,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,200000,100000,96,96,12,1,18.5674282064842,11.183428107577747,1000.0,18.5674282064842,11.183428107577747,1000.0,1.0442733764648438e-09,-0.009960531549453736,28.313898871154784,10.823976829986572,1.8419921398162842,0.015609010505378246,nan,nan,0.2406999999475479,nan,0.27844464778900146,0.41204339265823364,8.68861198425293,1.2193264961242676,0.0,9.90798020362854
3,3,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,300000,100000,96,96,12,1,25.04255343558606,4.078804617653836,1000.0,25.04255343558606,4.078804617653836,1000.0,1.8334388732910156e-09,-0.01091841295003891,10.595555025024414,3.878902543029785,1.790321828956604,0.006029332737922668,nan,nan,0.06680999999284744,nan,0.508685439825058,0.7869993597269058,8.978067636489868,3.044710159301758,0.0,12.022811889648438
4,4,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,400000,100000,96,96,12,1,24.318628558905118,2.617247661910025,1000.0,24.318628558905118,2.617247661910025,1000.0,-3.647804260253906e-09,-0.01145547181248665,3.130447473602295,1.387607753982544,1.769656777381897,0.00921266456991434,nan,nan,0.12916000011920928,nan,0.8432970196008682,0.9246586710214615,9.314344644546509,2.979233503341675,0.0,12.293609142303467
5,5,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,500000,100000,96,96,12,1,27.362070871634938,2.671498276513673,1000.0,27.362070871634938,2.671498276513673,1000.0,-1.1801719665527345e-09,-0.012407704844474792,0.9681764875030517,0.5378585120677948,1.731955768699646,0.009996266275346279,nan,nan,0.13781000002861024,nan,0.9448458179831505,0.9660227559506893,9.184524774551392,3.005063056945801,0.0,12.189618349075317
6,6,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,600000,100000,96,96,12,1,31.327653805240914,3.19763700439654,1000.0,31.327653805240914,3.19763700439654,1000.0,-1.3337135314941405e-08,-0.010651658487319946,0.6459452297401428,0.39422215815544126,1.6931669732284547,0.006583304927796125,nan,nan,0.07328000005960464,nan,0.9611723385751247,0.9719458017498255,9.008200883865356,3.025212049484253,0.0,12.03344202041626
7,7,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,700000,100000,96,96,12,1,33.5240762921599,2.547706532240456,1000.0,33.5240762921599,2.547706532240456,1000.0,1.24359130859375e-08,-0.010723039457798005,0.3791557496547699,0.29350033393859865,1.6366032361984253,0.005658210120201111,nan,nan,0.05897000002980232,nan,0.9723889883607626,0.9778817072510719,8.813156127929688,3.0602948665618896,0.0,11.873481273651123
8,8,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,800000,100000,96,96,12,1,33.95282411603899,2.7559328269871077,1000.0,33.95282411603899,2.7559328269871077,1000.0,-5.960464477539063e-11,-0.01001357241153717,0.2770796957492828,0.23141686014652252,1.5906893014907837,0.004958966355025768,nan,nan,0.05275000000476837,nan,0.9793083555996418,0.9814414530992508,8.841553211212158,3.073490858078003,0.0,11.91507363319397
9,9,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,900000,100000,96,96,12,1,34.81533626560981,2.270043321396621,1000.0,34.81533626560981,2.270043321396621,1000.0,7.95423984527588e-09,-0.008301809206604957,0.19072458259105682,0.14384440705299378,1.5413212796401978,0.004975721514672041,nan,nan,0.048130000013113024,nan,0.9861131077632308,0.9885161062702537,8.866450548171997,3.048837661743164,0.0,11.91532278060913
10,10,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,1000000,100000,96,96,12,1,35.363912808225514,2.2230666678728697,1000.0,35.363912808225514,2.2230666678728697,1000.0,2.2840499877929687e-09,-0.007125442062616348,0.1388637841963768,0.11589062717914582,1.496797804107666,0.003826901199519634,nan,nan,0.03662000002026558,nan,0.9893267368897796,0.9904748843982816,9.066348314285278,3.071204423904419,0.0,12.137585878372192
11,11,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,1100000,100000,96,96,12,1,35.648838359965644,1.866951643602858,1000.0,35.648838359965644,1.866951643602858,1000.0,-1.1651515960693359e-08,-0.006068102312088013,0.10678469543457031,0.0926050035905838,1.4584425687789917,0.003263537813723087,nan,nan,0.028040000015497207,nan,0.9912808276712894,0.9923242353834212,9.220561504364014,3.039703845977783,0.0,12.260295629501343
12,12,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,1200000,100000,96,96,12,1,35.564005372480786,1.8827303288058415,1000.0,35.564005372480786,1.8827303288058415,1000.0,6.058216094970703e-09,-0.00517328241109848,0.10671087526798248,0.095389287545681,1.4338700791549683,0.0021505906077474357,nan,nan,0.013570000010728837,nan,0.99109111353755,0.9919670419767499,9.316011190414429,3.049072504043579,0.0,12.36511492729187
13,13,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,1300000,100000,96,96,12,1,35.89449212752066,2.1402471361789255,1000.0,35.89449212752066,2.1402471361789255,1000.0,4.453659057617187e-09,-0.004673054294586181,0.1030283197760582,0.09005890273809433,1.4051570892333984,0.0044641423413157464,nan,nan,0.03962999998688698,nan,0.9916541473940015,0.9923586491495371,9.106420755386353,3.0797476768493652,0.0,12.186200141906738
14,14,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,1400000,100000,96,96,12,1,37.06445166947946,2.0262103008061048,1000.0,37.06445166947946,2.0262103008061048,1000.0,4.7421455383300785e-09,-0.004230560708045959,0.1011471886062622,0.09185059183120728,1.3712224980545045,0.003987401693165302,nan,nan,0.03459999998688698,nan,0.9912831634283066,0.9919592291116714,8.938162088394165,3.1265509128570557,0.0,12.064743995666504
15,15,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,1500000,100000,96,96,12,1,37.956336772604715,1.7189037936406708,1000.0,37.956336772604715,1.7189037936406708,1000.0,5.98907470703125e-09,-0.005047397300004959,0.09678223177671433,0.07148937476158142,1.3410184383392334,0.0037287245561927556,nan,nan,0.028070000014305114,nan,0.9928328292444348,0.9937454052269459,8.900601625442505,3.123373508453369,0.0,12.024012804031372
16,16,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,1600000,100000,96,96,12,1,38.503910581048636,1.8574267354982983,1000.0,38.503910581048636,1.8574267354982983,1000.0,-6.866455078125e-10,-0.003661443758010864,0.09345524756908417,0.08583761023044587,1.3035485744476318,0.004035013691037893,nan,nan,0.03713000001251698,nan,0.9917432703077793,0.9922648640349507,8.9263334274292,3.0493106842041016,0.0,11.975674390792847
17,17,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,1700000,100000,96,96,12,1,39.74390530354461,2.0357697743381404,1000.0,39.74390530354461,2.0357697743381404,1000.0,6.2918663024902344e-09,-0.004406388850212098,0.11656067383289337,0.10378264312267303,1.281131503944397,0.003113685255050659,nan,nan,0.02215000001192093,nan,0.990021288394928,0.9907627524808049,9.007382154464722,3.0245940685272217,0.0,12.032007932662964
18,18,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,1800000,100000,96,96,12,1,40.095592732706564,1.6079536115857869,1000.0,40.095592732706564,1.6079536115857869,1000.0,4.245042800903321e-09,-0.0037452496457099915,0.11437111090421677,0.098251184091568,1.2544755935668945,0.002876224509999156,nan,nan,0.020599999996423722,nan,0.9897667290642858,0.9911900544539094,9.276856184005737,3.0377273559570312,0.0,12.314614057540894
19,19,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,1900000,100000,96,96,12,1,40.086604565232435,1.8568211403532502,1000.0,40.086604565232435,1.8568211403532502,1000.0,7.987022399902344e-10,-0.0031988126611709597,0.09646252033829689,0.08738191284894943,1.2372492551803589,0.0028563450772315264,nan,nan,0.02090000000357628,nan,0.991409040056169,0.9920377125963569,9.283761262893677,3.0000696182250977,0.0,12.283860683441162
20,20,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,2000000,100000,96,96,12,1,40.56673711188849,1.7444477222230301,1000.0,40.56673711188849,1.7444477222230301,1000.0,8.317232131958008e-09,-0.0037940377771854402,0.10154179074287414,0.08607430829524994,1.225358247756958,0.003842387963682413,nan,nan,0.03595000002861023,nan,0.9915204420685768,0.9922210099175572,9.00768780708313,3.0646984577178955,0.0,12.07241702079773
21,21,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,2100000,100000,96,96,12,1,41.46918782260479,1.7725216852837666,1000.0,41.46918782260479,1.7725216852837666,1000.0,-1.8095970153808595e-09,-0.0030514660167694093,0.10334079654932023,0.0946862742447853,1.2063049057769775,0.0037600004470348357,nan,nan,0.03380000002503395,nan,0.991013485006988,0.9915181156247854,8.836524248123169,3.083400011062622,0.0,11.9199538230896
22,22,ppo,clip,gae,Swimmer-v5,mujoco,0,1,1.0,2200000,100000,96,96,12,1,42.12469701679226,1.7864012575313897,1000.0,42.12469701679226,1.7864012575313897,1000.0,8.695125579833985e-09,-0.0038368463397026064,0.09685645393848419,0.09081851257801056,1.1778999587249757,0.0025410835072398187,nan,nan,0.01729000001192093,nan,0.9913879167288542,0.9917272608727217,8.82644009590149,3.0623550415039062,0.0,11.88882565498352
