iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,108000,108000,108,108,12,1,13.386716100141015,6.770702315608398,1000.0,13.386716100141015,6.770702315608398,1000.0,0.7359527945518494,0.7954159379005432,nan,nan,1.8378758430480957,0.009873013012111187,1.0,0.1746678501367569,nan,nan,nan,nan,8.557073593139648,0.44898343086242676,0.0,9.006069898605347
2,2,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,216000,108000,108,108,12,1,21.414654749971508,8.273267870477293,1000.0,21.414654749971508,8.273267870477293,1000.0,1.0565992593765259,1.0996547937393188,nan,nan,1.8330893516540527,0.009668050333857536,1.0,0.1984802633523941,nan,nan,nan,nan,8.751556158065796,0.11067748069763184,0.0,8.8622407913208
3,3,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,324000,108000,108,108,12,1,26.77730441314729,7.139147363109605,1000.0,26.77730441314729,7.139147363109605,1000.0,1.2425514459609985,1.2643938064575195,nan,nan,1.8192285299301147,0.008336891420185566,1.0,0.19854508340358734,nan,nan,nan,nan,8.50672173500061,0.11376261711120605,0.0,8.620488405227661
4,4,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,432000,108000,108,108,12,1,30.84424317395276,6.450351485440279,1000.0,30.84424317395276,6.450351485440279,1000.0,1.4443498849868774,1.4587197303771973,nan,nan,1.8094840049743652,0.007505201268941164,1.0,0.18508589267730713,nan,nan,nan,nan,8.5819833278656,0.10643887519836426,0.0,8.68842625617981
5,5,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,540000,108000,108,108,12,1,31.67599159551767,4.435671829018883,1000.0,31.67599159551767,4.435671829018883,1000.0,1.3496865034103394,1.3642836809158325,nan,nan,1.7894489765167236,0.006470008287578821,1.0,0.19706960022449493,nan,nan,nan,nan,8.857771635055542,0.12437129020690918,0.0,8.982147932052612
6,6,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,648000,108000,108,108,12,1,29.099269667807068,4.73298849239135,1000.0,29.099269667807068,4.73298849239135,1000.0,1.009319543838501,1.0203218460083008,nan,nan,1.8010152578353882,0.005587773863226175,1.0,0.18716153502464294,nan,nan,nan,nan,8.426509618759155,0.10775518417358398,0.0,8.534269571304321
7,7,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,756000,108000,108,108,12,1,28.21377607718591,3.418997705994596,1000.0,28.21377607718591,3.418997705994596,1000.0,0.8707800507545471,0.889895498752594,nan,nan,1.7837445735931396,0.007447570096701384,1.0,0.21909183263778687,nan,nan,nan,nan,8.737667560577393,0.11071991920471191,0.0,8.84839153289795
8,8,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,864000,108000,108,108,12,1,29.998554629293086,3.520187426797836,1000.0,29.998554629293086,3.520187426797836,1000.0,0.8991958498954773,0.9122466444969177,nan,nan,1.774686574935913,0.005709860939532518,1.0,0.29160207509994507,nan,nan,nan,nan,8.270333290100098,0.11399984359741211,0.0,8.384337902069092
9,9,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,972000,108000,108,108,12,1,30.675736990877844,3.085321114487562,1000.0,30.675736990877844,3.085321114487562,1000.0,1.0129514932632446,1.0263910293579102,nan,nan,1.769271969795227,0.005861153360456228,1.0,0.13534680008888245,nan,nan,nan,nan,8.683294296264648,0.10746479034423828,0.0,8.79076337814331
10,10,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,1080000,108000,108,108,12,1,30.87429184841357,2.604709037511492,1000.0,30.87429184841357,2.604709037511492,1000.0,1.0704169273376465,1.0930988788604736,nan,nan,1.765067219734192,0.0067545087076723576,1.0,0.22992795705795288,nan,nan,nan,nan,8.449794292449951,0.10963010787963867,0.0,8.559428453445435
11,11,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,1188000,108000,108,108,12,1,31.190630448385978,3.097513007558118,1000.0,31.190630448385978,3.097513007558118,1000.0,1.0302473306655884,1.039099931716919,nan,nan,1.7662664651870728,0.0035595865920186043,1.0,0.1424666792154312,nan,nan,nan,nan,8.596810340881348,0.10871267318725586,0.0,8.705527544021606
12,12,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,1296000,108000,108,108,12,1,32.55610703506315,2.8153085088578105,1000.0,32.55610703506315,2.8153085088578105,1000.0,1.078582763671875,1.087933897972107,nan,nan,1.7705966234207153,0.005508825648576021,1.0,0.17723287642002106,nan,nan,nan,nan,8.747258424758911,0.11443138122558594,0.0,8.861695289611816
13,13,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,1404000,108000,108,108,12,1,33.34267639892121,2.329834065837383,1000.0,33.34267639892121,2.329834065837383,1000.0,1.1511679887771606,1.1599208116531372,nan,nan,1.7561955451965332,0.006956389639526606,1.0,0.1568746715784073,nan,nan,nan,nan,8.376413106918335,0.10810303688049316,0.0,8.484520673751831
14,14,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,1512000,108000,108,108,12,1,32.483977441909346,2.9431177180628656,1000.0,32.483977441909346,2.9431177180628656,1000.0,1.0448814630508423,1.0580562353134155,nan,nan,1.7260385751724243,0.006430233363062143,1.0,0.17231671512126923,nan,nan,nan,nan,8.765995025634766,0.10686182975769043,0.0,8.8728609085083
15,15,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,1620000,108000,108,108,12,1,32.171796717039044,3.3478022403979244,1000.0,32.171796717039044,3.3478022403979244,1000.0,1.057474970817566,1.0676140785217285,nan,nan,1.7169169187545776,0.006266346666961908,1.0,0.2074459195137024,nan,nan,nan,nan,8.284236192703247,0.10680198669433594,0.0,8.391042709350586
16,16,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,1728000,108000,108,108,12,1,32.87862059604676,3.0451352116804378,1000.0,32.87862059604676,3.0451352116804378,1000.0,1.0502874851226807,1.0728024244308472,nan,nan,1.6953656673431396,0.006986013613641262,1.0,0.22313828766345978,nan,nan,nan,nan,8.77290654182434,0.10857129096984863,0.0,8.881481409072876
17,17,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,1836000,108000,108,108,12,1,34.396724235124665,2.2648654420613434,1000.0,34.396724235124665,2.2648654420613434,1000.0,1.1253212690353394,1.1358143091201782,nan,nan,1.6854044198989868,0.005165036767721176,1.0,0.20646770298480988,nan,nan,nan,nan,8.445587873458862,0.11930251121520996,0.0,8.564894676208496
18,18,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,1944000,108000,108,108,12,1,33.34330626387461,2.919983707896854,1000.0,33.34330626387461,2.919983707896854,1000.0,1.087707757949829,1.0986747741699219,nan,nan,1.6963880062103271,0.004494451452046633,1.0,0.21733485162258148,nan,nan,nan,nan,8.698436498641968,0.11036086082458496,0.0,8.808801174163818
19,19,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,2052000,108000,108,108,12,1,33.834308778411746,2.978374620856452,1000.0,33.834308778411746,2.978374620856452,1000.0,1.1093459129333496,1.1258827447891235,nan,nan,1.699666142463684,0.006119589786976576,1.0,0.19915281236171722,nan,nan,nan,nan,8.70392394065857,0.11820030212402344,0.0,8.822128295898438
20,20,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,2160000,108000,108,108,12,1,33.51165262518565,2.856347272264748,1000.0,33.51165262518565,2.856347272264748,1000.0,1.088238000869751,1.1096506118774414,nan,nan,1.7013448476791382,0.006733075249940157,1.0,0.2626909017562866,nan,nan,nan,nan,8.442333221435547,0.10630917549133301,0.0,8.548646688461304
21,21,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,2268000,108000,108,108,12,1,35.414610003454975,2.586912835574654,1000.0,35.414610003454975,2.586912835574654,1000.0,1.1663687229156494,1.1715306043624878,nan,nan,1.697268009185791,0.005476331803947687,1.0,0.18760502338409424,nan,nan,nan,nan,8.749738693237305,0.10793662071228027,0.0,8.85767936706543
22,22,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,2376000,108000,108,108,12,1,35.01166982997188,2.6956395129687185,1000.0,35.01166982997188,2.6956395129687185,1000.0,1.1523832082748413,1.1730517148971558,nan,nan,1.6600751876831055,0.0057616038247942924,1.0,0.22609707713127136,nan,nan,nan,nan,8.40665054321289,0.10410118103027344,0.0,8.510756254196167
23,23,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,2484000,108000,108,108,12,1,33.7079385533512,2.9213829272602445,1000.0,33.7079385533512,2.9213829272602445,1000.0,1.1144236326217651,1.15028977394104,nan,nan,1.6573054790496826,0.007484140805900097,1.0,0.2261829674243927,nan,nan,nan,nan,8.845073461532593,0.1095733642578125,0.0,8.95465087890625
24,24,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,2592000,108000,108,108,12,1,35.318922063059404,2.4011592074513333,1000.0,35.318922063059404,2.4011592074513333,1000.0,1.1970669031143188,1.2198888063430786,nan,nan,1.652343511581421,0.005474647507071495,1.0,0.26480913162231445,nan,nan,nan,nan,8.577713251113892,0.10924267768859863,0.0,8.686959743499756
25,25,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,2700000,108000,108,108,12,1,34.25735556332177,2.7510902931900922,1000.0,34.25735556332177,2.7510902931900922,1000.0,1.1519017219543457,1.1663603782653809,nan,nan,1.6377259492874146,0.006160420831292868,1.0,0.2745583951473236,nan,nan,nan,nan,8.643497228622437,0.11052870750427246,0.0031614303588867188,8.75719428062439
26,26,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,2808000,108000,108,108,12,1,33.39080296936953,2.9474800329792568,1000.0,33.39080296936953,2.9474800329792568,1000.0,1.077424168586731,1.0895814895629883,nan,nan,1.6337664127349854,0.006613912992179394,1.0,0.2448551207780838,nan,nan,nan,nan,8.770557641983032,0.11039376258850098,0.0,8.880955934524536
27,27,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,2916000,108000,108,108,12,1,33.83127936818813,2.6275564660940933,1000.0,33.83127936818813,2.6275564660940933,1000.0,1.1278607845306396,1.1446278095245361,nan,nan,1.6149039268493652,0.0078041707165539265,1.0,0.17165786027908325,nan,nan,nan,nan,8.416806697845459,0.10591578483581543,0.0,8.522727012634277
28,28,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,3024000,108000,108,108,12,1,33.79211652170851,2.805353347879489,1000.0,33.79211652170851,2.805353347879489,1000.0,1.0885063409805298,1.1105791330337524,nan,nan,1.625791311264038,0.006960418540984392,1.0,0.2832159399986267,nan,nan,nan,nan,8.962560415267944,0.10800480842590332,0.0,9.070571422576904
29,29,trpo,trpo_paper,trpo_paper,Swimmer-v5,mujoco,2,1,1.0,3132000,108000,108,108,12,1,33.52179211713829,2.844748895789656,1000.0,33.52179211713829,2.844748895789656,1000.0,1.0357475280761719,1.0680890083312988,nan,nan,1.6259609460830688,0.006827361881732941,1.0,0.31772273778915405,nan,nan,nan,nan,8.382528066635132,0.10896992683410645,0.0,8.491501808166504
