iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,1000116,1000116,52948,52948,12,1,-8.540344541627444,4.611754436321896,18.888645463473598,-8.540344541627444,4.611754436321896,18.888645463473598,-7.388099193572998,-7.385194301605225,nan,nan,5.513631343841553,7.0101464189065155e-06,nan,0.44284966588020325,nan,nan,nan,nan,92.65583920478821,1.4549131393432617,0.0,94.11076760292053
2,2,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,2000222,1000106,53009,53009,12,1,-8.48644205483793,4.621267812317853,18.866720745533776,-8.48644205483793,4.621267812317853,18.866720745533776,-7.375396251678467,-7.372460842132568,nan,nan,5.513845920562744,7.0951268753560726e-06,nan,0.4389224350452423,nan,nan,nan,nan,92.41606163978577,0.6983230113983154,0.0,93.11439228057861
3,3,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,3000346,1000124,52879,52879,12,1,-8.446381184235102,4.604048796958848,18.913443900225044,-8.446381184235102,4.604048796958848,18.913443900225044,-7.343470573425293,-7.34058952331543,nan,nan,5.514174938201904,6.960191512916936e-06,nan,0.43418511748313904,nan,nan,nan,nan,92.25644207000732,0.7019541263580322,0.0,92.95840191841125
4,4,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,4000435,1000089,52871,52871,12,1,-8.397595504153486,4.649688479862161,18.915643736642014,-8.397595504153486,4.649688479862161,18.915643736642014,-7.327709674835205,-7.324707508087158,nan,nan,5.514463901519775,7.255196123878704e-06,nan,0.44336405396461487,nan,nan,nan,nan,92.29602575302124,0.699138879776001,0.0,92.9951720237732
5,5,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,5000535,1000100,52814,52814,12,1,-8.342433124928883,4.6536156322156765,18.936266898928313,-8.342433124928883,4.6536156322156765,18.936266898928313,-7.294987678527832,-7.29205322265625,nan,nan,5.514709949493408,7.096858553268248e-06,nan,0.43558046221733093,nan,nan,nan,nan,92.03119325637817,0.6988375186920166,0.0,92.73003768920898
6,6,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,6000649,1000114,52815,52815,12,1,-8.2734691595095,4.666082743098381,18.936173435577015,-8.2734691595095,4.666082743098381,18.936173435577015,-7.255289554595947,-7.252349853515625,nan,nan,5.514835357666016,7.09123196429573e-06,nan,0.45182856917381287,nan,nan,nan,nan,92.27337098121643,0.698941707611084,0.0,92.97231864929199
7,7,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,7000761,1000112,52608,52608,12,1,-8.222435260348922,4.704295217908141,19.010644768856448,-8.222435260348922,4.704295217908141,19.010644768856448,-7.221912384033203,-7.218917369842529,nan,nan,5.515181541442871,7.237256340886233e-06,nan,0.4413190484046936,nan,nan,nan,nan,92.13467931747437,0.7003688812255859,0.0,92.8350555896759
8,8,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,8000875,1000114,52590,52590,12,1,-8.149398955223658,4.733825262616015,19.017189579768015,-8.149398955223658,4.733825262616015,19.017189579768015,-7.171960353851318,-7.1690287590026855,nan,nan,5.515346050262451,7.076969268382527e-06,nan,0.4438113868236542,nan,nan,nan,nan,92.39762163162231,0.695336103439331,0.0,93.09296417236328
9,9,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,9000968,1000093,52414,52414,12,1,-8.103169835391576,4.724654261784767,19.080646392185294,-8.103169835391576,4.724654261784767,19.080646392185294,-7.150928974151611,-7.148036956787109,nan,nan,5.515514850616455,6.993042461544974e-06,nan,0.4312114715576172,nan,nan,nan,nan,92.65978741645813,0.6960487365722656,0.0,93.35584378242493
10,10,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,10001054,1000086,52391,52391,12,1,-8.011024638177524,4.742722356302993,19.08888931304995,-8.011024638177524,4.742722356302993,19.08888931304995,-7.114016532897949,-7.111158847808838,nan,nan,5.515662670135498,6.903603662067326e-06,nan,0.4350925087928772,nan,nan,nan,nan,92.70889902114868,0.6965432167053223,0.0,93.4054479598999
11,11,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,11001184,1000130,52368,52368,12,1,-8.016756232880711,4.737945738335631,19.098113351665138,-8.016756232880711,4.737945738335631,19.098113351665138,-7.110652923583984,-7.10763692855835,nan,nan,5.515982627868652,7.293730504898122e-06,nan,0.43933603167533875,nan,nan,nan,nan,92.59787106513977,0.6995694637298584,0.0,93.29744672775269
12,12,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,12001299,1000115,52399,52399,12,1,-7.9359135121108455,4.792544543319591,19.086528368862,-7.9359135121108455,4.792544543319591,19.086528368862,-7.063841819763184,-7.060817718505859,nan,nan,5.516190052032471,7.309583452297375e-06,nan,0.4429008662700653,nan,nan,nan,nan,92.59504199028015,0.6997599601745605,0.0,93.29480862617493
13,13,natural_pg,trpo_paper,trpo_paper,Walker2d-v5,mujoco,1,1,1.0,13001384,1000085,52217,52217,12,1,-7.861455451819557,4.80575506406471,19.152479077695002,-7.861455451819557,4.80575506406471,19.152479077695002,-7.017398834228516,-7.014450550079346,nan,nan,5.516380786895752,7.1258441494137514e-06,nan,0.4407145082950592,nan,nan,nan,nan,92.48678421974182,0.6988165378570557,0.0,93.18560743331909
