iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,ppo,clip,gae,Walker2d-v5,mujoco,0,1,1.0,100000,100000,4442,4442,12,1,3.878384869435769,6.414918653668519,22.483340837460602,3.878384869435769,6.414918653668519,22.483340837460602,-7.62939453125e-09,-0.022085932352542876,25.752283023681642,18.07643460449219,5.5113677978515625,0.019227720143198967,nan,nan,0.2675399999713898,nan,0.0014765262603759766,0.29127299785614014,11.650439262390137,1.7684094905853271,0.0,13.418941497802734
2,2,ppo,clip,gae,Walker2d-v5,mujoco,0,1,1.0,200000,100000,3587,3587,12,1,8.039682592079219,9.138541630773977,27.836632283245052,8.039682592079219,9.138541630773977,27.836632283245052,1.990795135498047e-08,-0.025184264831542968,42.52425862792969,35.37665468139648,5.506030567626953,0.020626503844857216,nan,nan,0.2884099998474121,nan,0.25302064418792725,0.3214593529701233,11.535301208496094,1.2420241832733154,0.0,12.77736496925354
3,3,ppo,clip,gae,Walker2d-v5,mujoco,0,1,1.0,300000,100000,2611,2611,12,1,16.290273556537258,16.20617630534064,38.14745308310992,16.290273556537258,16.20617630534064,38.14745308310992,-1.41085684299469e-08,-0.018726227231025697,121.9804403930664,97.3691580859375,5.5000867924499515,0.01770498920083046,nan,nan,0.25854999998092654,nan,0.28172779083251953,0.3421142101287842,11.392832517623901,1.2867472171783447,0.0,12.679612398147583
4,4,ppo,clip,gae,Walker2d-v5,mujoco,0,1,1.0,400000,100000,1936,1936,12,1,27.6946178086964,26.956643275772286,51.486570247933884,27.6946178086964,26.956643275772286,51.486570247933884,1.2438297271728516e-08,-0.013525138990879058,261.96776151367186,215.77194315429688,5.493248947601319,0.01793776726782322,nan,nan,0.25552999996185305,nan,0.32247477769851685,0.38276392221450806,11.197919845581055,1.250392198562622,0.0,12.44835615158081
5,5,ppo,clip,gae,Walker2d-v5,mujoco,0,1,1.0,500000,100000,1346,1346,12,1,50.605526212034896,50.02825845636023,74.00445765230312,50.605526212034896,50.02825845636023,74.00445765230312,2.592802047729492e-09,-0.00872707074046135,615.856777734375,472.86527998046876,5.484226218719482,0.017065163991451263,nan,nan,0.24971000000953675,nan,0.3771842122077942,0.45372170209884644,11.29966139793396,1.2595763206481934,0.0,12.559268236160278
6,6,ppo,clip,gae,Walker2d-v5,mujoco,0,1,1.0,600000,100000,962,962,12,1,90.33835963990354,75.87778366028752,102.75779625779626,90.33835963990354,75.87778366028752,102.75779625779626,-2.0041465759277343e-08,-0.01499388147354126,1037.700251171875,737.1738652929688,5.422580710906982,0.011083174905776977,nan,nan,0.16308000010490417,nan,0.4081338047981262,0.5083730220794678,11.427456855773926,3.366018533706665,0.0,14.793505668640137
7,7,ppo,clip,gae,Walker2d-v5,mujoco,0,1,1.0,700000,100000,788,788,12,1,139.98127716349813,90.66824435781537,125.71446700507614,139.98127716349813,90.66824435781537,125.71446700507614,-3.204345703125e-09,-0.014390008807182312,1063.9163580078125,783.052813984375,5.351384162902832,0.010129072427153588,nan,nan,0.14812000005722045,nan,0.4992731809616089,0.5740143060684204,11.428319931030273,3.3340539932250977,0.0,14.762407064437866
8,8,ppo,clip,gae,Walker2d-v5,mujoco,0,1,1.0,800000,100000,690,690,12,1,191.6539808127483,94.74454832613013,144.21884057971013,191.6539808127483,94.74454832613013,144.21884057971013,7.507801055908202e-09,-0.013131457283496857,959.29441796875,686.7384563671875,5.295092582702637,0.008024442076385021,nan,nan,0.10813999997138977,nan,0.5721165239810944,0.6351112127304077,11.543323278427124,3.3249752521514893,0.0,14.868335247039795
9,9,ppo,clip,gae,Walker2d-v5,mujoco,0,1,1.0,900000,100000,633,633,12,1,223.5289840952372,90.85040968854837,156.52764612954186,223.5289840952372,90.85040968854837,156.52764612954186,2.5582313537597656e-09,-0.010774494099617005,631.4913879101563,539.7369247070312,5.229170799255371,0.00981585727661848,nan,nan,0.13913000010490417,nan,0.6686062216758728,0.6996499598026276,11.625399351119995,3.320340633392334,0.0,14.945775032043457
10,10,ppo,clip,gae,Walker2d-v5,mujoco,0,1,1.0,1000000,100000,629,629,12,1,240.46023909550422,76.81075791978894,157.20826709062004,240.46023909550422,76.81075791978894,157.20826709062004,2.9301643371582033e-09,-0.009411590113639831,451.2773378222656,393.9499088671875,5.178598395843506,0.009241380580961705,nan,nan,0.12889000002384185,nan,0.7490354478359222,0.7724623531103134,11.592865705490112,3.3926644325256348,0.0,14.98556113243103
