iteration,epoch,method,method_variant,estimator,env_id,suite,seed,trainable,did_update,env_steps,batch_env_steps,episodes_in_batch,episodes_in_epoch,num_workers,parallel_rollouts,train_return_mean,train_return_std,train_len_mean,ep_return_mean,ep_return_std,ep_len_mean,policy_loss_before,policy_loss_after,value_loss_before,value_loss_after,entropy,approx_kl,line_search_success,cg_norm,clip_fraction,kl_coef,value_explained_variance_before,value_explained_variance_after,collect_time_sec,update_time_sec,checkpoint_time_sec,wall_time_sec
1,1,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,1000081,1000081,86326,86326,12,1,-0.7175884919201028,2.9193265851415715,11.5849338553854,-0.7175884919201028,2.9193265851415715,11.5849338553854,-2.3169286251068115,-2.2246434688568115,nan,nan,5.513631820678711,0.009732651524245739,1.0,0.41901084780693054,nan,nan,nan,nan,95.15193319320679,1.5342137813568115,0.0,96.68616247177124
2,2,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,2000138,1000057,79137,79137,12,1,0.36539189764360375,3.208005510846017,12.637034509774189,0.36539189764360375,3.208005510846017,12.637034509774189,-1.9343881607055664,-1.8404275178909302,nan,nan,5.491444110870361,0.009797313250601292,1.0,0.4177916646003723,nan,nan,nan,nan,94.76670002937317,0.7617542743682861,0.0,95.52846360206604
3,3,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,3000242,1000104,71655,71655,12,1,1.5747977616188304,3.5881102765273174,13.95721163910404,1.5747977616188304,3.5881102765273174,13.95721163910404,-1.538537859916687,-1.4420578479766846,nan,nan,5.464851379394531,0.009850340895354748,1.0,0.42313653230667114,nan,nan,nan,nan,94.83439469337463,0.7601680755615234,0.0,95.59456849098206
4,4,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,4000353,1000111,63847,63847,12,1,3.030319327748022,4.188432685096331,15.664181559039578,3.030319327748022,4.188432685096331,15.664181559039578,-1.0220742225646973,-0.9196150898933411,nan,nan,5.430107593536377,0.009890688583254814,1.0,0.43462005257606506,nan,nan,nan,nan,95.05040574073792,0.7655594348907471,0.0,95.81597137451172
5,5,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,5000451,1000098,56060,56060,12,1,4.8647672690534,5.141539417193274,17.83977880841955,4.8647672690534,5.141539417193274,17.83977880841955,-0.27177736163139343,-0.15656396746635437,nan,nan,5.3901238441467285,0.009945925325155258,1.0,0.4882868826389313,nan,nan,nan,nan,95.37875890731812,0.76692795753479,0.0,96.14569401741028
6,6,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,6000571,1000120,48786,48786,12,1,7.251043969368193,6.634664885439322,20.50014348378633,7.251043969368193,6.634664885439322,20.50014348378633,0.903859555721283,1.0098153352737427,nan,nan,5.344996929168701,0.006375920493155718,1.0,0.5369184613227844,nan,nan,nan,nan,95.68147897720337,0.7830953598022461,0.0,96.46458148956299
7,7,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,7000659,1000088,43035,43035,12,1,9.803140210363138,8.418637596469159,23.238945044731032,9.803140210363138,8.418637596469159,23.238945044731032,2.2929511070251465,2.415864944458008,nan,nan,5.303578853607178,0.0063997902907431126,1.0,0.6110605001449585,nan,nan,nan,nan,95.75330924987793,0.7801456451416016,0.0,96.53346395492554
8,8,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,8000857,1000198,37150,37150,12,1,13.448975349672965,11.449600412779546,26.923230148048454,13.448975349672965,11.449600412779546,26.923230148048454,4.498270034790039,4.649082183837891,nan,nan,5.259127616882324,0.006433802656829357,1.0,0.720291793346405,nan,nan,nan,nan,95.96513485908508,0.781806468963623,0.0,96.74694681167603
9,9,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,9001132,1000275,30977,30977,12,1,18.933636931518354,17.04909919992252,32.290893243374114,18.933636931518354,17.04909919992252,32.290893243374114,7.982386112213135,8.17073917388916,nan,nan,5.213498115539551,0.006430568639189005,1.0,0.8970138430595398,nan,nan,nan,nan,96.09083914756775,0.7820174694061279,0.0,96.87286329269409
10,10,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,10001443,1000311,24452,24452,12,1,28.442150781446262,29.021559055345627,40.90916898413218,28.442150781446262,29.021559055345627,40.90916898413218,14.383537292480469,14.633763313293457,nan,nan,5.165694713592529,0.006485150195658207,1.0,1.2230921983718872,nan,nan,nan,nan,96.41942477226257,0.7830045223236084,0.0,97.20243501663208
11,11,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,11001926,1000483,17963,17963,12,1,46.82620488502889,53.151859803291345,55.69687691365585,46.82620488502889,53.151859803291345,55.69687691365585,26.412446975708008,26.744983673095703,nan,nan,5.115932464599609,0.006544350180774927,1.0,1.6280131340026855,nan,nan,nan,nan,96.5575008392334,0.7781581878662109,0.0,97.33566474914551
12,12,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,12002547,1000621,12501,12501,12,1,82.26725673925428,86.66722348056726,80.04327653787696,82.26725673925428,86.66722348056726,80.04327653787696,44.42892837524414,44.81828308105469,nan,nan,5.05743932723999,0.00656195217743516,1.0,2.0163683891296387,nan,nan,nan,nan,96.88381791114807,0.7771217823028564,0.0,97.66094541549683
13,13,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,13003155,1000608,8724,8724,12,1,139.2829256402631,114.39475940501138,114.69601100412655,139.2829256402631,114.39475940501138,114.69601100412655,63.67026138305664,64.0264663696289,nan,nan,4.992621421813965,0.006440518423914909,1.0,2.081509590148926,nan,nan,nan,nan,97.31412982940674,0.7780401706695557,0.0,98.09217524528503
14,14,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,14003911,1000756,6569,6569,12,1,209.5833221706061,119.6105445166436,152.34525803014157,209.5833221706061,119.6105445166436,152.34525803014157,80.19600677490234,80.5793228149414,nan,nan,4.936922073364258,0.009826933033764362,1.0,2.2225654125213623,nan,nan,nan,nan,97.60096454620361,0.7613201141357422,0.0,98.36229109764099
15,15,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,15004863,1000952,5692,5692,12,1,265.6374988030246,92.45405363766461,175.85242445537597,265.6374988030246,92.45405363766461,175.85242445537597,91.73656463623047,92.00174713134766,nan,nan,4.87482213973999,0.008517135865986347,1.0,2.3481059074401855,nan,nan,nan,nan,97.9574966430664,0.7620389461517334,0.0,98.71954154968262
16,16,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,16006089,1001226,5590,5590,12,1,285.76389378144586,68.13036402607882,179.1101967799642,285.76389378144586,68.13036402607882,179.1101967799642,97.53270721435547,97.7680892944336,nan,nan,4.828536033630371,0.008184758014976978,1.0,2.336697816848755,nan,nan,nan,nan,98.17937159538269,0.7598814964294434,0.0,98.9392580986023
17,17,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,17007211,1001122,5682,5682,12,1,287.2846555393043,59.433385087238214,176.19183386131644,287.2846555393043,59.433385087238214,176.19183386131644,99.10423278808594,99.32050323486328,nan,nan,4.812833309173584,0.00810121651738882,1.0,2.142904281616211,nan,nan,nan,nan,98.68755388259888,0.7672543525695801,0.0,99.45481300354004
18,18,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,18008199,1000988,5760,5760,12,1,287.1205091346544,51.675658823941696,173.7826388888889,287.1205091346544,51.675658823941696,173.7826388888889,99.7337646484375,99.95714569091797,nan,nan,4.7903971672058105,0.007845447398722172,1.0,2.2241599559783936,nan,nan,nan,nan,98.32165169715881,0.7652652263641357,0.0,99.08692264556885
19,19,trpo,trpo_paper,trpo_paper,Walker2d-v5,mujoco,0,1,1.0,19009252,1001053,5808,5808,12,1,288.2590677919397,47.817864110519544,172.35761019283746,288.2590677919397,47.817864110519544,172.35761019283746,100.82745361328125,101.04733276367188,nan,nan,4.779083251953125,0.008060871623456478,1.0,2.2276222705841064,nan,nan,nan,nan,98.16231799125671,0.7646160125732422,0.0,98.92693877220154
